English Word	Emotion	Emotion-Intensity-Score	Malay Word
outraged	anger	0.964	geram
brutality	anger	0.959	kekejaman
hatred	anger	0.953	kebencian
hateful	anger	0.940	penuh kebencian
terrorize	anger	0.939	mengganas
violently	anger	0.938	secara ganas
infuriated	anger	0.938	berang
furious	anger	0.929	geram
furiously	anger	0.927	marah
enraged	anger	0.927	marah-marah
screwyou	anger	0.924	skru awak
murderer	anger	0.922	pembunuh
fury	anger	0.922	kemarahan
execution	anger	0.917	perlaksanaan
angered	anger	0.916	marah
savagery	anger	0.915	kebiadaban
slaughtering	anger	0.914	penyembelihan
veryangry	anger	0.913	sangat marah
assassinate	anger	0.912	membunuh
annihilation	anger	0.912	kemusnahan
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	kemarahan
loathe	anger	0.909	benci
fucktard	anger	0.906	sialan
roadrage	anger	0.906	amukan jalanan
damnation	anger	0.906	kutukan
homicidal	anger	0.906	pembunuhan
furor	anger	0.900	kegeraman
hostile	anger	0.898	bermusuhan
annihilate	anger	0.898	memusnahkan
murder	anger	0.897	pembunuhan
raging	anger	0.896	mengamuk
sopissed	anger	0.894	geram
infuriates	anger	0.894	menimbulkan kemarahan
pissed	anger	0.894	geram
rape	anger	0.894	rogol
ferocious	anger	0.894	ganas
vengeful	anger	0.894	pendendam
obliterated	anger	0.894	dilenyapkan
explosive	anger	0.894	bahan letupan
killing	anger	0.893	membunuh
combative	anger	0.891	berperang
vengeance	anger	0.886	dendam
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	azab
wrath	anger	0.885	kemarahan
vicious	anger	0.884	ganas
massacre	anger	0.882	pembunuhan beramai-ramai
threatening	anger	0.882	mengancam
abhorrent	anger	0.875	menjijikkan
bloodthirsty	anger	0.875	dahagakan darah
pissoff	anger	0.875	geram
fighting	anger	0.868	bergaduh
attacking	anger	0.865	menyerang
annihilated	anger	0.865	dimusnahkan
angriest	anger	0.864	paling marah
bloodshed	anger	0.864	pertumpahan darah
smite	anger	0.862	pukul
brawl	anger	0.861	bergaduh
malicious	anger	0.859	berniat jahat
assassination	anger	0.859	pembunuhan
strangle	anger	0.859	mencekik
hostility	anger	0.859	permusuhan
assault	anger	0.859	serangan
explode	anger	0.859	meletup
tirade	anger	0.859	omelan
loathsome	anger	0.857	menjijikkan
hell	anger	0.853	neraka
murderous	anger	0.853	pembunuh
attack	anger	0.853	serang
malice	anger	0.852	niat jahat
terrorism	anger	0.851	keganasan
beating	anger	0.849	memukul
outrage	anger	0.848	kemarahan
desecration	anger	0.848	penodaan
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	memusnahkan
slaughter	anger	0.844	penyembelihan
irate	anger	0.844	marah
violent	anger	0.844	ganas
stab	anger	0.844	tikam
abomination	anger	0.844	kekejian
tumultuous	anger	0.844	kecoh
infuriate	anger	0.844	menimbulkan kemarahan
obliterate	anger	0.843	melenyapkan
belligerent	anger	0.841	suka berperang
dumbbitch	anger	0.841	bodoh
detest	anger	0.838	benci
hostilities	anger	0.837	permusuhan
prick	anger	0.835	cucuk
rampage	anger	0.833	mengamuk
horrid	anger	0.833	ngeri
cruelty	anger	0.833	kekejaman
torture	anger	0.833	penyeksaan
rabid	anger	0.833	mengamuk
despicable	anger	0.828	keji
tyrannical	anger	0.828	zalim
demonic	anger	0.828	setan
satanic	anger	0.828	syaitan
hate	anger	0.828	benci
ragemode	anger	0.828	kemarahan
hating	anger	0.828	membenci
ruinous	anger	0.825	merosakkan
condemn	anger	0.825	mengutuk
riots	anger	0.824	rusuhan
demolish	anger	0.824	merobohkan
angry	anger	0.824	marah
extermination	anger	0.824	pemusnahan
dickhead	anger	0.824	orang bodoh
livid	anger	0.821	geram
madman	anger	0.820	orang gila
vindictive	anger	0.819	pendendam
terrorist	anger	0.818	pengganas
threaten	anger	0.818	mengancam
venomous	anger	0.818	berbisa
hateyou	anger	0.818	benci kamu
ferocity	anger	0.818	keganasan
effyou	anger	0.818	effyou
abhor	anger	0.816	membenci
carnage	anger	0.814	pembunuhan beramai-ramai
savage	anger	0.814	ganas
atrocity	anger	0.814	kekejaman
fucksake	anger	0.812	sialan
abuse	anger	0.812	penderaan
fierce	anger	0.812	garang
destroyer	anger	0.812	pemusnah
angrytweet	anger	0.812	tweet marah
barbaric	anger	0.812	biadab
