Online Post ID,Twitter ID,Related Online Post ID,Source ID,Online Post Text,Subjectivity,Sentiment Polarity,Emotion,Sarcasm,Irony,Negation,Off-topic,Language
20180001,,,N-1-2018,Great BUDGET . Even cigarettes were not touched . Great work by Dr. Muscat and his Team . Profs. Edward Scicluna / Minister is an expert on Accounts .,1,positive,trust,0,0,1,0,0
20180002,,20180001,N-1-2018,"I haven't exactly scanned the budget throughout, but how on Earth do you make out that not imposing higher prices on something as toxic as cigarettes is a positive?! If anything he should have suggested a program to help people quit smoking!",1,negative,disgust,0,0,1,0,0
20180003,,20180002,N-1-2018,There’s already smoking cessation programs for people who want to quit smoking but I agree with you that cigarettes should be taxed more,1,neutral,anticipation,0,0,0,0,0
20180004,,20180003,N-1-2018,"So should alcohol and fuel for private vehicles. If raising the tax on cigarettes would reduce the danger to health, doing the same for alcohol would reduce the number of accidents and higher fuel costs would reduce pollution due to a smaller number of vehicles on our roads... no? Unfortunately for idealists, Governments also need to be practical.",1,negative,sadness,0,0,0,0,0
20180005,,20180004,N-1-2018,"Practical? You should say that in a third world country, and not in a supposed European state.",1,negative,anger,0,0,1,0,0
20180006,,20180004,N-1-2018,Well said.,1,positive,trust,0,0,0,0,0
20180007,,20180002,N-1-2018,"Though am a smoker, I fully agree with you.",1,positive,trust,0,0,0,0,0
20180008,,20180002,N-1-2018,Everything the PL does is positive for him ..so don't be amazed,1,negative,disgust,0,1,1,1,0
20180009,,20180008,N-1-2018,Everything the PL does is negative for your like.,1,negative,anger,0,0,0,1,0
20180010,,20180008,N-1-2018,fact by 85%,1,neutral,sadness,0,0,0,1,0
20180011,,20180002,N-1-2018,"People will still smoke, regardless. Imposing higher prices will not stop people from smoking. As far as I know, there are programs which help people quit smoking.",1,neutral,anticipation,0,0,1,0,0
20180012,,20180011,N-1-2018,"Higher prices will have little or no impact on addicted smokers, may encourage non-addicted smokers to give up and deter non-smokers from taking up the practice.",1,positive,anticipation,0,0,0,1,0
20180013,,20180012,N-1-2018,higher prices encourage contraband,1,negative,anticipation,0,0,0,1,0
20180014,,20180013,N-1-2018,So we should reduce the price of fuel.,1,neutral,anticipation,0,1,0,1,0
20180015,,20180013,N-1-2018,"How's the Ferrari black market going :) ? Of course they do, you're 1000% correct. Still contraband is illegal, so they do so at their own risk.",1,negative,anger,0,0,0,1,0
20180016,,20180013,N-1-2018,That is probably true. A comprehensive anti-tobacco policy would include strong border-control measures. In our case that would mean making sure Customs and police are better equipped in all ways.,1,positive,anticipation,0,0,0,1,0
20180017,,20180011,N-1-2018,Very true but high prices discourage new smokers.,1,positive,anticipation,0,0,0,1,0
