English Word	Emotion	Emotion-Intensity-Score	Sinhala Word
outraged	anger	0.964	කෝපයට පත් විය
brutality	anger	0.959	ම්ලේච්ඡත්වය
hatred	anger	0.953	වෛරය
hateful	anger	0.940	ද්වේශ සහගත ය
terrorize	anger	0.939	භීතියට පත් කරන්න
violently	anger	0.938	දරුණු ලෙස
infuriated	anger	0.938	කෝපයට පත් විය
furious	anger	0.929	කෝපයෙන්
furiously	anger	0.927	කෝපයෙන්
enraged	anger	0.927	කෝපයට පත් විය
screwyou	anger	0.924	ඔබ අපායට යන්න ඕන
murderer	anger	0.922	මිනීමරුවා
fury	anger	0.922	කෝපය
execution	anger	0.917	ක්රියාත්මක කිරීම
angered	anger	0.916	කෝපයට පත් විය
savagery	anger	0.915	ම්ලේච්ඡත්වය
slaughtering	anger	0.914	ඝාතනය කිරීම
veryangry	anger	0.913	ඉතා කෝපයෙන්
assassinate	anger	0.912	ඝාතනය කරන්න
annihilation	anger	0.912	සමූලඝාතනය
fuckoff	anger	0.912	මගුල
rage	anger	0.911	කෝපය
loathe	anger	0.909	පිළිකුල් කරනවා
fucktard	anger	0.906	මගුලක්
roadrage	anger	0.906	මාර්ග තදබදය
damnation	anger	0.906	සාපයක්
homicidal	anger	0.906	මිනීමැරුම්
furor	anger	0.900	කෝපය
hostile	anger	0.898	සතුරු
annihilate	anger	0.898	විනාශ කරනවා
murder	anger	0.897	ඝාතනය
raging	anger	0.896	කෝපයෙන්
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	කෝපයට පත් කරයි
pissed	anger	0.894	කෝපයට පත් විය
rape	anger	0.894	දූෂණය
ferocious	anger	0.894	රුදුරු
vengeful	anger	0.894	පළිගන්නවා
obliterated	anger	0.894	මකා දමන ලදී
explosive	anger	0.894	පුපුරන සුලු
killing	anger	0.893	මරනවා
combative	anger	0.891	සටන්කාමී
vengeance	anger	0.886	පළිගැනීම
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	වද දෙනවා
wrath	anger	0.885	කෝපය
vicious	anger	0.884	දුෂ්ට
massacre	anger	0.882	සමූල ඝාතනය
threatening	anger	0.882	තර්ජනය කරනවා
abhorrent	anger	0.875	පිළිකුල් සහගතය
bloodthirsty	anger	0.875	ලේ පිපාසිත
pissoff	anger	0.875	පිස්සෝෆ්
fighting	anger	0.868	සටන් කරනවා
attacking	anger	0.865	පහර දෙනවා
annihilated	anger	0.865	සමූලඝාතනය කළා
angriest	anger	0.864	කෝපාවිෂ්ට
bloodshed	anger	0.864	ලේ වැගිරීම
smite	anger	0.862	පහර
brawl	anger	0.861	දබර කිරීම
malicious	anger	0.859	ද්වේෂසහගත
assassination	anger	0.859	ඝාතනය
strangle	anger	0.859	ගෙල මිරිකා
hostility	anger	0.859	සතුරුකම
assault	anger	0.859	පහරදීම
explode	anger	0.859	පිපිරෙනවා
tirade	anger	0.859	වංකකම
loathsome	anger	0.857	පිළිකුල් සහගතයි
hell	anger	0.853	නිරය
murderous	anger	0.853	මිනීමරු
attack	anger	0.853	පහර දෙනවා
malice	anger	0.852	ද්වේෂය
terrorism	anger	0.851	ත්රස්තවාදය
beating	anger	0.849	ගහනවා
outrage	anger	0.848	කෝපය
desecration	anger	0.848	කෙලෙසීම
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	විනාශ කරනවා
slaughter	anger	0.844	ඝාතනය
irate	anger	0.844	කෝප වෙනවා
violent	anger	0.844	ප්රචණ්ඩකාරී
stab	anger	0.844	පිහියෙන් අනිනවා
abomination	anger	0.844	පිළිකුල් සහගතය
tumultuous	anger	0.844	කලබලකාරී
infuriate	anger	0.844	කෝපයට පත් කරයි
obliterate	anger	0.843	මකා දමන්න
belligerent	anger	0.841	සටන්කාමී
dumbbitch	anger	0.841	ගොළුවා
detest	anger	0.838	පිළිකුල් කරනවා
hostilities	anger	0.837	සතුරුකම්
prick	anger	0.835	විදින
rampage	anger	0.833	රැවටීම
horrid	anger	0.833	බිහිසුණු
cruelty	anger	0.833	කෲරත්වය
torture	anger	0.833	වධහිංසා පැමිණවීම
rabid	anger	0.833	උමතු
despicable	anger	0.828	නින්දිතයි
tyrannical	anger	0.828	කුරිරු
demonic	anger	0.828	භූතවාදී
satanic	anger	0.828	සාතනික
hate	anger	0.828	වෛර කරනවා
ragemode	anger	0.828	ragemode
hating	anger	0.828	වෛර කරනවා
ruinous	anger	0.825	විනාශකාරී
