English Word	Emotion	Emotion-Intensity-Score	Khmer Word
outraged	anger	0.964	ខឹងសម្បារ
brutality	anger	0.959	ភាពឃោរឃៅ
hatred	anger	0.953	ការស្អប់
hateful	anger	0.940	ស្អប់
terrorize	anger	0.939	ភេរវករ
violently	anger	0.938	យ៉ាង​ហឹង្សា
infuriated	anger	0.938	ខឹងសម្បារ
furious	anger	0.929	ខឹងសម្បារ
furiously	anger	0.927	ដោយកំហឹង
enraged	anger	0.927	ខឹងសម្បារ
screwyou	anger	0.924	ចោរ​ម្រា​យ
murderer	anger	0.922	ឃាតករ
fury	anger	0.922	កំហឹង
execution	anger	0.917	ការប្រតិបត្តិ
angered	anger	0.916	ខឹង
savagery	anger	0.915	ព្រៃផ្សៃ
slaughtering	anger	0.914	ការសំលាប់
veryangry	anger	0.913	ខឹង​ខ្លាំង​ណាស់
assassinate	anger	0.912	ធ្វើឃាត
annihilation	anger	0.912	ការបំផ្លាញ
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	កំហឹង
loathe	anger	0.909	ស្អប់
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	កំហឹង
damnation	anger	0.906	ការប្រមាថ
homicidal	anger	0.906	ឃាតកម្ម
furor	anger	0.900	កំហឹង
hostile	anger	0.898	អរិភាព
annihilate	anger	0.898	បំផ្លាញ
murder	anger	0.897	ឃាតកម្ម
raging	anger	0.896	ខឹងសម្បារ
sopissed	anger	0.894	ស្រពិចស្រពិល
infuriates	anger	0.894	ខឹងសម្បារ
pissed	anger	0.894	ខឹង
rape	anger	0.894	ការរំលោភ
ferocious	anger	0.894	សាហាវ
vengeful	anger	0.894	សងសឹក
obliterated	anger	0.894	លុបចោល
explosive	anger	0.894	ផ្ទុះ
killing	anger	0.893	ការសម្លាប់
combative	anger	0.891	ប្រយុទ្ធ
vengeance	anger	0.886	ការសងសឹក
gofuckyourself	anger	0.886	ខាំខ្លួនឯង
torment	anger	0.885	ការធ្វើទារុណកម្ម
wrath	anger	0.885	កំហឹង
vicious	anger	0.884	សាហាវ
massacre	anger	0.882	ការសម្លាប់រង្គាល។
threatening	anger	0.882	ការគំរាមកំហែង
abhorrent	anger	0.875	ស្អប់ខ្ពើម
bloodthirsty	anger	0.875	ស្រេកឈាម
pissoff	anger	0.875	pissoff
fighting	anger	0.868	ការប្រយុទ្ធគ្នា។
attacking	anger	0.865	វាយប្រហារ
annihilated	anger	0.865	វិនាស
angriest	anger	0.864	ខឹងបំផុត។
bloodshed	anger	0.864	ការបង្ហូរឈាម
smite	anger	0.862	ញញឹម
brawl	anger	0.861	ជម្លោះ
malicious	anger	0.859	ព្យាបាទ
assassination	anger	0.859	ការធ្វើឃាត
strangle	anger	0.859	ច្របាច់ក
hostility	anger	0.859	អរិភាព
assault	anger	0.859	ការវាយប្រហារ
explode	anger	0.859	ផ្ទុះ
tirade	anger	0.859	ធុញទ្រាន់
loathsome	anger	0.857	គួរឱ្យស្អប់ខ្ពើម
hell	anger	0.853	នរក
murderous	anger	0.853	ឃាតកម្ម
attack	anger	0.853	ការវាយប្រហារ
malice	anger	0.852	ព្យាបាទ
terrorism	anger	0.851	ភេរវកម្ម
beating	anger	0.849	ការវាយដំ
outrage	anger	0.848	កំហឹង
desecration	anger	0.848	ការប្រមាថ
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	បំផ្លាញ
slaughter	anger	0.844	ការសំលាប់
irate	anger	0.844	ខឹងសម្បារ
violent	anger	0.844	ហឹង្សា
stab	anger	0.844	ចាក់
abomination	anger	0.844	ការស្អប់ខ្ពើម
tumultuous	anger	0.844	ចលាចល។
infuriate	anger	0.844	ខឹងសម្បារ
obliterate	anger	0.843	បំបាត់ចោល
belligerent	anger	0.841	បះបោរ
dumbbitch	anger	0.841	មនុស្សល្ងង់
detest	anger	0.838	ស្អប់ខ្ពើម
hostilities	anger	0.837	អរិភាព
prick	anger	0.835	ចាក់
rampage	anger	0.833	ផ្ទុះឡើង
horrid	anger	0.833	រន្ធត់
cruelty	anger	0.833	ភាពឃោរឃៅ
torture	anger	0.833	ការធ្វើទារុណកម្ម
rabid	anger	0.833	ឆ្កួត
despicable	anger	0.828	គួរឱ្យស្អប់ខ្ពើម
tyrannical	anger	0.828	ឃោរឃៅ
demonic	anger	0.828	អារក្ស
satanic	anger	0.828	សាតាំង
hate	anger	0.828	ស្អប់
ragemode	anger	0.828	ragemode
hating	anger	0.828	ស្អប់
ruinous	anger	0.825	វិនាស
condemn	anger	0.825	ថ្កោលទោស
riots	anger	0.824	កុប្បកម្ម
demolish	anger	0.824	កម្ទេចចោល
angry	anger	0.824	ខឹង
extermination	anger	0.824	ការសម្លាប់រង្គាល។
dickhead	anger	0.824	ក្បាលដោះ
livid	anger	0.821	ក្រហាយ
madman	anger	0.820	មនុស្សឆ្កួត
vindictive	anger	0.819	សងសឹក
terrorist	anger	0.818	ភេរវករ
threaten	anger	0.818	គំរាមកំហែង
venomous	anger	0.818	ពិស
hateyou	anger	0.818	ស្អប់​អ្នក
ferocity	anger	0.818	ភាពឃោរឃៅ
effyou	anger	0.818	អេហ្វអ្នក
abhor	anger	0.816	ស្អប់
carnage	anger	0.814	ការសម្លាប់រង្គាល
savage	anger	0.814	ព្រៃផ្សៃ
atrocity	anger	0.814	អំពើឃោរឃៅ
fucksake	anger	0.812	fucksake
abuse	anger	0.812	ការរំលោភបំពាន
fierce	anger	0.812	កាច
destroyer	anger	0.812	អ្នកបំផ្លាញ
angrytweet	anger	0.812	ធ្វីតខឹង
barbaric	anger	0.812	ព្រៃផ្សៃ
vendetta	anger	0.812	vendetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	ខឹង
tyrant	anger	0.812	ឧកញ៉ា
berserk	anger	0.812	ឆ្កួត
fuming	anger	0.812	ផ្សែង
anger	anger	0.811	កំហឹង
pieceofshit	anger	0.810	បំណែក
punched	anger	0.803	ដាល់
punching	anger	0.803	ដាល់
slam	anger	0.803	ទះកំផ្លៀង
homicide	anger	0.803	ឃាតកម្ម
bitch	anger	0.803	ឆ្កេញី
fights	anger	0.803	ប្រយុទ្ធ
ruthless	anger	0.797	គ្មានមេត្តា
villainous	anger	0.797	អាក្រក់
destructive	anger	0.797	បំផ្លិចបំផ្លាញ
slap	anger	0.791	ទះ
riot	anger	0.788	កុបកម្ម
growthefuckup	anger	0.788	ការរីកលូតលាស់
punishing	anger	0.788	ការដាក់ទណ្ឌកម្ម
slaughterhouse	anger	0.788	ទីសត្តឃាត
yelling	anger	0.788	ស្រែក
diabolical	anger	0.788	diabolical
destroyed	anger	0.788	បំផ្លាញ
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	សងសឹក
manslaughter	anger	0.783	ឃាតកម្ម
clash	anger	0.783	ការប៉ះទង្គិច
quarrel	anger	0.781	ឈ្លោះប្រកែកគ្នា
bloody	anger	0.781	បង្ហូរឈាម
hellish	anger	0.781	នរក
sinister	anger	0.781	អាក្រក់
loath	anger	0.781	ស្អប់
detonation	anger	0.781	ការបំផ្ទុះ
accusing	anger	0.779	ចោទប្រកាន់
fumin	anger	0.779	ហ្វូមីន
hateeee	anger	0.779	ស្អប់
treacherous	anger	0.779	ក្បត់
madder	anger	0.773	ម៉ាឌឺរ
horrific	anger	0.773	រន្ធត់
revulsion	anger	0.773	ការបះបោរ
retaliate	anger	0.773	សងសឹក
scorn	anger	0.769	មើលងាយ
bomb	anger	0.766	គ្រាប់បែក
deplorable	anger	0.766	គួរ​ឲ្យ​អាណិត
devastation	anger	0.765	ការបំផ្លិចបំផ្លាញ
anarchist	anger	0.765	អនាធិបតេយ្យនិយម
firestorm	anger	0.765	ព្យុះភ្លើង
resent	anger	0.765	អន់ចិត្ត
