English Word	Emotion	Emotion-Intensity-Score	Pashto Word
outraged	anger	0.964	غوسه شوی
brutality	anger	0.959	وحشت
hatred	anger	0.953	نفرت
hateful	anger	0.940	کرکه لرونکی
terrorize	anger	0.939	ډارول
violently	anger	0.938	په زوره
infuriated	anger	0.938	غوسه شوی
furious	anger	0.929	قهرجن
furiously	anger	0.927	په قهر
enraged	anger	0.927	غوسه شوی
screwyou	anger	0.924	تاؤ دې کړم
murderer	anger	0.922	قاتل
fury	anger	0.922	قهر
execution	anger	0.917	اعدام
angered	anger	0.916	غوسه شوی
savagery	anger	0.915	وحشي
slaughtering	anger	0.914	ذبح کول
veryangry	anger	0.913	ډیر غوسه
assassinate	anger	0.912	وژل
annihilation	anger	0.912	له منځه وړل
fuckoff	anger	0.912	خندا
rage	anger	0.911	قهر
loathe	anger	0.909	کرکه
fucktard	anger	0.906	ټوکه
roadrage	anger	0.906	سړک
damnation	anger	0.906	لعنت
homicidal	anger	0.906	وژونکی
furor	anger	0.900	قهر
hostile	anger	0.898	دښمني
annihilate	anger	0.898	له منځه وړل
murder	anger	0.897	وژنه
raging	anger	0.896	قهرجن
sopissed	anger	0.894	خندا شوی
infuriates	anger	0.894	غوسه کوي
pissed	anger	0.894	خپه شوی
rape	anger	0.894	جنسي تيري
ferocious	anger	0.894	وحشي
vengeful	anger	0.894	غچ اخیستونکی
obliterated	anger	0.894	له منځه وړل
explosive	anger	0.894	چاودیدونکی
killing	anger	0.893	وژنه
combative	anger	0.891	جنګي
vengeance	anger	0.886	انتقام
gofuckyourself	anger	0.886	ځان غولاوه
torment	anger	0.885	عذاب
wrath	anger	0.885	قهر
vicious	anger	0.884	شیطاني
massacre	anger	0.882	قتل عام
threatening	anger	0.882	ګواښونکي
abhorrent	anger	0.875	کرکه
bloodthirsty	anger	0.875	وینې تږی
pissoff	anger	0.875	ووځه بهرته
fighting	anger	0.868	جګړه
attacking	anger	0.865	برید کول
annihilated	anger	0.865	له منځه وړل
angriest	anger	0.864	غوسه
bloodshed	anger	0.864	وینه تویول
smite	anger	0.862	وهل
brawl	anger	0.861	شخړه
malicious	anger	0.859	ناوړه
assassination	anger	0.859	وژنه
strangle	anger	0.859	زنګ وهل
hostility	anger	0.859	دښمني
assault	anger	0.859	برید
explode	anger	0.859	چاودنه
tirade	anger	0.859	tirade
loathsome	anger	0.857	کرکه کوونکی
hell	anger	0.853	دوزخ
murderous	anger	0.853	وژونکی
attack	anger	0.853	برید
malice	anger	0.852	کرکه
terrorism	anger	0.851	تروریزم
beating	anger	0.849	وهل
outrage	anger	0.848	قهر
desecration	anger	0.848	بې حرمتي
pissingmeoff	anger	0.848	خپګان
destroying	anger	0.844	ویجاړول
slaughter	anger	0.844	ذبح
irate	anger	0.844	قهرجن
violent	anger	0.844	تاوتریخوالی
stab	anger	0.844	چړې وهل
abomination	anger	0.844	کرکه
tumultuous	anger	0.844	ګډوډي
infuriate	anger	0.844	غوسه کول
obliterate	anger	0.843	له منځه وړل
belligerent	anger	0.841	جنګیدونکی
dumbbitch	anger	0.841	ګونګی
detest	anger	0.838	کرکه
hostilities	anger	0.837	دښمني
prick	anger	0.835	ټک
rampage	anger	0.833	ګډوډي
horrid	anger	0.833	وحشتناک
cruelty	anger	0.833	ظلم
torture	anger	0.833	شکنجه
rabid	anger	0.833	لیونی
despicable	anger	0.828	د نفرت وړ
tyrannical	anger	0.828	ظالم
demonic	anger	0.828	شیطاني
satanic	anger	0.828	شیطاني
hate	anger	0.828	کرکه
ragemode	anger	0.828	ragemode
hating	anger	0.828	کرکه
ruinous	anger	0.825	ویجاړونکی
condemn	anger	0.825	غندنه
riots	anger	0.824	بلوا
demolish	anger	0.824	ړنګول
angry	anger	0.824	غوسه
extermination	anger	0.824	له منځه وړل
dickhead	anger	0.824	سر
livid	anger	0.821	خوندور
madman	anger	0.820	لېونی
vindictive	anger	0.819	غچ اخیستونکی
terrorist	anger	0.818	ترهګر
threaten	anger	0.818	ګواښول
venomous	anger	0.818	زهري
hateyou	anger	0.818	تا نه کرکه لرم
ferocity	anger	0.818	وحشت
effyou	anger	0.818	تاسو
abhor	anger	0.816	کرکه
carnage	anger	0.814	قتل عام
savage	anger	0.814	وحشي
atrocity	anger	0.814	ظلم
fucksake	anger	0.812	خندا
abuse	anger	0.812	ناوړه ګټه اخیستنه
fierce	anger	0.812	سخت
destroyer	anger	0.812	ویجاړونکی
angrytweet	anger	0.812	په غوسه ټویټ
barbaric	anger	0.812	وحشي
vendetta	anger	0.812	انتقام
pissesmeoff	anger	0.812	خندا
pissedoff	anger	0.812	قهریدل
tyrant	anger	0.812	ظالم
berserk	anger	0.812	بې رحمه
