English Word	Emotion	Emotion-Intensity-Score	Albanian Word
outraged	anger	0.964	i indinjuar
brutality	anger	0.959	brutaliteti
hatred	anger	0.953	urrejtje
hateful	anger	0.940	i urryer
terrorize	anger	0.939	terrorizoj
violently	anger	0.938	me dhunë
infuriated	anger	0.938	i tërbuar
furious	anger	0.929	i furishëm
furiously	anger	0.927	furishëm
enraged	anger	0.927	i tërbuar
screwyou	anger	0.924	ik pirdhu
murderer	anger	0.922	vrasës
fury	anger	0.922	tërbim
execution	anger	0.917	ekzekutimi
angered	anger	0.916	i zemëruar
savagery	anger	0.915	egërsi
slaughtering	anger	0.914	therje
veryangry	anger	0.913	shume i merzitur
assassinate	anger	0.912	bëj atentat
annihilation	anger	0.912	asgjësimi
fuckoff	anger	0.912	qij
rage	anger	0.911	tërbim
loathe	anger	0.909	urrej
fucktard	anger	0.906	shakaxhi
roadrage	anger	0.906	trazirë
damnation	anger	0.906	mallkim
homicidal	anger	0.906	vrasëse
furor	anger	0.900	furi
hostile	anger	0.898	armiqësore
annihilate	anger	0.898	asgjësoj
murder	anger	0.897	vrasje
raging	anger	0.896	të tërbuar
sopissed	anger	0.894	i sopisur
infuriates	anger	0.894	inatos
pissed	anger	0.894	i inatosur
rape	anger	0.894	përdhunimi
ferocious	anger	0.894	i egër
vengeful	anger	0.894	hakmarrëse
obliterated	anger	0.894	i fshirë
explosive	anger	0.894	eksplozive
killing	anger	0.893	duke vrarë
combative	anger	0.891	luftarake
vengeance	anger	0.886	hakmarrje
gofuckyourself	anger	0.886	dreq veten
torment	anger	0.885	mundimi
wrath	anger	0.885	zemërim
vicious	anger	0.884	vicioz
massacre	anger	0.882	masakër
threatening	anger	0.882	kërcënuese
abhorrent	anger	0.875	i urryer
bloodthirsty	anger	0.875	gjakatar
pissoff	anger	0.875	ngrit nervat
fighting	anger	0.868	duke luftuar
attacking	anger	0.865	duke sulmuar
annihilated	anger	0.865	i asgjësuar
angriest	anger	0.864	më i zemëruar
bloodshed	anger	0.864	gjakderdhje
smite	anger	0.862	godas
brawl	anger	0.861	përleshje
malicious	anger	0.859	keqdashëse
assassination	anger	0.859	atentat
strangle	anger	0.859	mbyt
hostility	anger	0.859	armiqësi
assault	anger	0.859	sulmi
explode	anger	0.859	shpërthejnë
tirade	anger	0.859	tirade
loathsome	anger	0.857	i neveritshëm
hell	anger	0.853	ferr
murderous	anger	0.853	vrastare
attack	anger	0.853	sulmojnë
malice	anger	0.852	keqdashje
terrorism	anger	0.851	terrorizmit
beating	anger	0.849	duke rrahur
outrage	anger	0.848	zemërim
desecration	anger	0.848	përdhosje
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	duke shkatërruar
slaughter	anger	0.844	therje
irate	anger	0.844	i zemëruar
violent	anger	0.844	i dhunshëm
stab	anger	0.844	godas me thikë
abomination	anger	0.844	neveri
tumultuous	anger	0.844	i trazuar
infuriate	anger	0.844	tërbojnë
obliterate	anger	0.843	fshij
belligerent	anger	0.841	luftarake
dumbbitch	anger	0.841	budallaqe
detest	anger	0.838	urrej
hostilities	anger	0.837	armiqësitë
prick	anger	0.835	shpoj
rampage	anger	0.833	tërbim
horrid	anger	0.833	e tmerrshme
cruelty	anger	0.833	mizori
torture	anger	0.833	tortura
rabid	anger	0.833	i tërbuar
despicable	anger	0.828	e neveritshme
tyrannical	anger	0.828	tiranike
demonic	anger	0.828	demonike
satanic	anger	0.828	satanike
hate	anger	0.828	urrejtje
ragemode	anger	0.828	tërbim
hating	anger	0.828	urrejtje
