English Word	Emotion	Emotion-Intensity-Score	Hebrew Word
outraged	anger	0.964	זועמת
brutality	anger	0.959	הִתעַלְלוּת
hatred	anger	0.953	שנאה
hateful	anger	0.940	נִתעָב
terrorize	anger	0.939	לְהַשְׁלִיט טֶרוֹר
violently	anger	0.938	באלימות
infuriated	anger	0.938	זועם
furious	anger	0.929	זוֹעֵם
furiously	anger	0.927	בזעם
enraged	anger	0.927	נִזעָם
screwyou	anger	0.924	קפוץ לי
murderer	anger	0.922	רוֹצֵחַ
fury	anger	0.922	זעם
execution	anger	0.917	ביצוע
angered	anger	0.916	כועס
savagery	anger	0.915	פִּראוּת
slaughtering	anger	0.914	שחיטה
veryangry	anger	0.913	כועס מאוד
assassinate	anger	0.912	להתנקש
annihilation	anger	0.912	הַשׁמָדָה
fuckoff	anger	0.912	לעזאזל
rage	anger	0.911	זעם
loathe	anger	0.909	לתעב
fucktard	anger	0.906	מזדיין
roadrage	anger	0.906	roadrage
damnation	anger	0.906	קְלָלָה
homicidal	anger	0.906	רצחני
furor	anger	0.900	זעם
hostile	anger	0.898	עוין
annihilate	anger	0.898	לְהַשְׁמִיד
murder	anger	0.897	רֶצַח
raging	anger	0.896	סוֹעֵר
sopissed	anger	0.894	כלכך עצבני
infuriates	anger	0.894	מקומם
pissed	anger	0.894	עצבני
rape	anger	0.894	לֶאֱנוֹס
ferocious	anger	0.894	פְּרָאִי
vengeful	anger	0.894	נַקמָנִי
obliterated	anger	0.894	נמחק
explosive	anger	0.894	חומר נפץ
killing	anger	0.893	הֶרֶג
combative	anger	0.891	קרבי
vengeance	anger	0.886	נקמה
gofuckyourself	anger	0.886	תזדיין את עצמך
torment	anger	0.885	לַעֲנוֹת
wrath	anger	0.885	זעם
vicious	anger	0.884	מרושע
massacre	anger	0.882	טֶבַח
threatening	anger	0.882	מְאַיֵם
abhorrent	anger	0.875	שָׂנוּא
bloodthirsty	anger	0.875	צמא דם
pissoff	anger	0.875	עצבני
fighting	anger	0.868	לְחִימָה
attacking	anger	0.865	לתקוף
annihilated	anger	0.865	הושמד
angriest	anger	0.864	הכי כועס
bloodshed	anger	0.864	שפיכות דמים
smite	anger	0.862	לְהַכּוֹת
brawl	anger	0.861	קְטָטָה
malicious	anger	0.859	זְדוֹנִי
assassination	anger	0.859	רֶצַח
strangle	anger	0.859	לַחֲנוֹק
hostility	anger	0.859	עוֹיְנוּת
assault	anger	0.859	תקיפה
explode	anger	0.859	לְהִתְפּוֹצֵץ
tirade	anger	0.859	תוֹכָחָה
loathsome	anger	0.857	נִתעָב
hell	anger	0.853	גֵיהִנוֹם
murderous	anger	0.853	רַצחָנִי
attack	anger	0.853	לִתְקוֹף
malice	anger	0.852	זָדוֹן
terrorism	anger	0.851	טֵרוֹר
beating	anger	0.849	הַכָּאָה
outrage	anger	0.848	שַׁעֲרוּרִיָה
desecration	anger	0.848	חילול קודש
pissingmeoff	anger	0.848	מעצבן אותי
destroying	anger	0.844	הורס
slaughter	anger	0.844	לִשְׁחוֹט
irate	anger	0.844	נִזעָם
violent	anger	0.844	אַלִים
stab	anger	0.844	לִדקוֹר
abomination	anger	0.844	תוֹעֵבָה
tumultuous	anger	0.844	רוֹעֵשׁ
infuriate	anger	0.844	לְהַרְתִיחַ
obliterate	anger	0.843	לְהַשְׁמִיד
belligerent	anger	0.841	לוֹחְמָנִי
dumbbitch	anger	0.841	טמבל
detest	anger	0.838	לְתַעֵב
hostilities	anger	0.837	פְּעוּלוֹת אֵיבָה
prick	anger	0.835	לִדקוֹר
rampage	anger	0.833	הִשׁתוֹלְלוּת
horrid	anger	0.833	מַגְעִיל
cruelty	anger	0.833	אַכְזָרִיוּת
torture	anger	0.833	לַעֲנוֹת
rabid	anger	0.833	קַנָאִי
despicable	anger	0.828	בזוי
tyrannical	anger	0.828	רוֹדָנִי
demonic	anger	0.828	שֵׁדִי
satanic	anger	0.828	שְׂטָנִי
hate	anger	0.828	שִׂנאָה
ragemode	anger	0.828	מצב כעס
hating	anger	0.828	שׂוֹנֵא
ruinous	anger	0.825	הַרסָנִי
condemn	anger	0.825	לְגַנוֹת
riots	anger	0.824	מהומות
demolish	anger	0.824	לַהֲרוֹס
angry	anger	0.824	כּוֹעֵס
extermination	anger	0.824	הַשׁמָדָה
dickhead	anger	0.824	ראש זין
livid	anger	0.821	רותח מכעס
madman	anger	0.820	מְטוּרָף
vindictive	anger	0.819	נַקמָנִי
terrorist	anger	0.818	מְחַבֵּל
threaten	anger	0.818	מאיים
venomous	anger	0.818	אַרסִי
hateyou	anger	0.818	שונא אותך
ferocity	anger	0.818	פִּראוּת
effyou	anger	0.818	אפקטיבי
abhor	anger	0.816	לְתַעֵב
carnage	anger	0.814	טֶבַח
savage	anger	0.814	פרא אדם
atrocity	anger	0.814	זוועה
fucksake	anger	0.812	לעזאזל
abuse	anger	0.812	התעללות
fierce	anger	0.812	עַז
destroyer	anger	0.812	מַשׁחֶתֶת
angrytweet	anger	0.812	כועס ציוץ
barbaric	anger	0.812	בַּרבָּרִי
vendetta	anger	0.812	נקמת דם
pissesmeoff	anger	0.812	להשתין
pissedoff	anger	0.812	עצבני
tyrant	anger	0.812	רוֹדָן
berserk	anger	0.812	מטורף
fuming	anger	0.812	מבעבע
anger	anger	0.811	כַּעַס
pieceofshit	anger	0.810	חתיכת חרא
punched	anger	0.803	מְחוֹרָר
punching	anger	0.803	חבטות
slam	anger	0.803	לִטרוֹק
homicide	anger	0.803	רצח
bitch	anger	0.803	כַּלבָּה
fights	anger	0.803	קרבות
ruthless	anger	0.797	חֲסַר רַחֲמִים
villainous	anger	0.797	מְרוּשָׁע
destructive	anger	0.797	הַרסָנִי
slap	anger	0.791	סְטִירָה
riot	anger	0.788	הִתפָּרְעוּת
growthefuckup	anger	0.788	צמיחה לעזאזל
punishing	anger	0.788	עֲנִישָׁה
slaughterhouse	anger	0.788	מִטבָּחַיִם
yelling	anger	0.788	לצעוק
diabolical	anger	0.788	שטני
destroyed	anger	0.788	נהרס
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	תגמול
manslaughter	anger	0.783	הריגה
clash	anger	0.783	הִתנַגְשׁוּת
quarrel	anger	0.781	לָרִיב
bloody	anger	0.781	אָרוּר
hellish	anger	0.781	שְׂטָנִי
sinister	anger	0.781	מְרוּשָׁע
loath	anger	0.781	מְתַעֵב
detonation	anger	0.781	הִתְפּוֹצְצוּת
accusing	anger	0.779	מאשים
fumin	anger	0.779	פומין
hateeee	anger	0.779	שונא
treacherous	anger	0.779	בּוֹגדָנִי
madder	anger	0.773	מטורף יותר
horrific	anger	0.773	מַחרִיד
revulsion	anger	0.773	סְלִידָה
retaliate	anger	0.773	לִנְקוֹם
scorn	anger	0.769	לַעַג
bomb	anger	0.766	פְּצָצָה
deplorable	anger	0.766	מְצַעֵר
devastation	anger	0.765	חוּרבָּן
anarchist	anger	0.765	אֲנַרכִיסט
firestorm	anger	0.765	סופת אש
resent	anger	0.765	לְהִתְרַעֵם
contemptible	anger	0.764	בָּזוּי
shittest	anger	0.760	הכי חרא
rant	anger	0.758	לְדַבֵּר בְּטִרוּף
cruel	anger	0.758	אַכְזָרִי
deadly	anger	0.758	קטלני
smash	anger	0.758	לְרַסֵק
soangry	anger	0.758	כל כך כועס
outburst	anger	0.757	הִתפָּרְצוּת
snarl	anger	0.754	לִנְהוֹם
profane	anger	0.750	לְחַלֵל
revolting	anger	0.750	מַגְעִיל
aggravating	anger	0.750	מַרגִיז
horror	anger	0.750	חֲרָדָה
despise	anger	0.750	לָבוּז
offend	anger	0.750	לְהַעֲלִיב
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ווּלגָרִיוּת
crazed	anger	0.750	מוטרף
douchebags	anger	0.750	שוטים
growling	anger	0.750	נַהַם
dontmesswithme	anger	0.750	dontmeswithme
screaming	anger	0.742	צורח
threat	anger	0.742	אִיוּם
erupt	anger	0.742	לְהִתְפַּרֵץ
horrible	anger	0.742	מַחרִיד
molestation	anger	0.742	הַצָקָה
fuckedoff	anger	0.742	דפוק
violence	anger	0.742	אַלִימוּת
bastards	anger	0.741	ממזרים
revenge	anger	0.738	נְקָמָה
menacing	anger	0.735	מאיים
crushing	anger	0.735	גְרִיסָה
damn	anger	0.735	לעזאזל
catastrophe	anger	0.735	קטסטרופה
demon	anger	0.735	שֵׁד
argue	anger	0.734	לִטעוֹן
persecute	anger	0.734	לִרְדוֹף
deplore	anger	0.734	לִבכּוֹת
flog	anger	0.734	לְהַלקוֹת
fedup	anger	0.734	נמאס
riotous	anger	0.734	פָּרוּעַ
vehement	anger	0.734	תַקִיף
revolt	anger	0.734	מֶרֶד
warfare	anger	0.734	לוֹחָמָה
thrash	anger	0.734	לַחֲבוֹט
altercation	anger	0.729	קְטָטָה
warlike	anger	0.728	מִלחַמתִי
shitday	anger	0.727	יום חרא
mutiny	anger	0.727	מֶרֶד
castrate	anger	0.727	לְסַרֵס
sabotage	anger	0.727	חַבָּלָה
malevolent	anger	0.721	מְרוּשָׁע
strike	anger	0.721	לְהַכּוֹת
disaster	anger	0.721	אסון
disastrous	anger	0.720	אסון
bastarding	anger	0.719	ממזר
treachery	anger	0.719	בּוֹגדָנוּת
arseholes	anger	0.719	חורים
horseshit	anger	0.719	חרא סוס
slay	anger	0.719	לִקְטוֹל
disdain	anger	0.719	בּוּז
aggravates	anger	0.719	מחמיר
brutal	anger	0.719	אַכְזָרִי
scorching	anger	0.719	הִבהוּב
devil	anger	0.719	שָׂטָן
madden	anger	0.719	לְשַׁגֵעַ
spiteful	anger	0.719	קַנטְרָנִי
scream	anger	0.719	לִצְרוֹחַ
choke	anger	0.719	לַחֲנוֹק
vermin	anger	0.719	שְׁרָצִים
tumult	anger	0.719	הֲמוּלָה
criminal	anger	0.714	פְּלִילִי
mangle	anger	0.714	לְהַשְׁחִית
anarchism	anger	0.714	אנרכיזם
mutilation	anger	0.714	הַטָלַת מוּם
denunciation	anger	0.713	הוֹקָעָה
punch	anger	0.713	פּוּנץ'
virulence	anger	0.712	אַרסִיוּת
fatal	anger	0.712	קָטלָנִי
hurting	anger	0.712	כואב
crucifixion	anger	0.712	צְלִיבָה
dontlikeyou	anger	0.712	לא אוהב אותך
blasphemous	anger	0.712	חילול השם
holocaust	anger	0.712	שׁוֹאָה
dumbasses	anger	0.712	טיפשים
battled	anger	0.712	נלחם
deranged	anger	0.706	מטורלל
irritated	anger	0.706	מגורה
atrocious	anger	0.706	מְתוֹעָב
evil	anger	0.706	רשע
aggravated	anger	0.703	מחמיר
intimidation	anger	0.703	הַפחָדָה
dicks	anger	0.703	זין
assassin	anger	0.703	מִתנַקֵשׁ
scolding	anger	0.703	נזיפה
persecution	anger	0.703	רְדִיפוּת
slayer	anger	0.703	קוטל
kidnap	anger	0.703	לַחטוֹף
aggression	anger	0.702	תוֹקפָּנוּת
armed	anger	0.700	חָמוּשׁ
battle	anger	0.697	קרב
poison	anger	0.697	רַעַל
snarling	anger	0.697	נוהם
venom	anger	0.697	אֶרֶס
disgruntled	anger	0.693	מְמוּרמָר
resentment	anger	0.691	טינה
assailant	anger	0.691	תוקף
insidious	anger	0.691	ערמומי
contemptuous	anger	0.690	מבזה
lynch	anger	0.690	לִינץ'
temper	anger	0.688	מזג
terrible	anger	0.688	נורא
disparage	anger	0.688	לִזַלזֵל
lunatic	anger	0.688	מְטוּרָף
bully	anger	0.688	בִּריוֹן
mad	anger	0.688	מְטוּרָף
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	רצח תינוקות
domination	anger	0.688	שְׁלִיטָה
peeved	anger	0.688	עצבני
imprisonment	anger	0.688	מַאֲסָר
curse	anger	0.688	קללה
volatility	anger	0.687	תנודתיות
eradication	anger	0.685	עֲקִירָה
eradicate	anger	0.682	לְבַעֵר
tantrum	anger	0.682	הִתפָּרְצוּת זַעַם
scoundrel	anger	0.682	נָבָל
devastate	anger	0.682	לְהַחרִיב
aggressively	anger	0.680	באגרסיביות
agitation	anger	0.680	תסיסה
dictatorship	anger	0.676	רוֹדָנוּת
irritates	anger	0.676	מגרה
profanity	anger	0.673	ניבולי פה
shove	anger	0.672	דְחִיפָה
nasty	anger	0.672	מַגְעִיל
shot	anger	0.672	בְּעִיטָה
cruelly	anger	0.672	באכזריות
shoot	anger	0.672	לירות
condemnation	anger	0.672	הוֹקָעָה
crushed	anger	0.672	כָּתוּשׁ
aggravation	anger	0.672	הַחמָרָה
poisonous	anger	0.672	רעיל
egregious	anger	0.672	בּוֹלֵט
crime	anger	0.672	פֶּשַׁע
corrupting	anger	0.672	משחית
dastardly	anger	0.672	מגוחך
contempt	anger	0.672	בּוּז
harmful	anger	0.672	מַזִיק
expletive	anger	0.672	נפרץ
wreak	anger	0.672	לִנְקוֹם
maniac	anger	0.670	מְטוּרָף
cutthroat	anger	0.667	רַצחָנִי
enemy	anger	0.667	אוֹיֵב
hit	anger	0.667	מכה
hateeveryone	anger	0.667	שונא את כולם
eruption	anger	0.667	הִתפָּרְצוּת
irritable	anger	0.667	עַצבָּנִי
odious	anger	0.667	נִתעָב
shooting	anger	0.667	צילומים
shout	anger	0.667	צעקה
aggressive	anger	0.667	תוֹקפָּנִי
kick	anger	0.667	בְּעִיטָה
combat	anger	0.667	לחימה
fight	anger	0.667	מַאֲבָק
punished	anger	0.662	נענש
yell	anger	0.661	לִצְעוֹק
ambush	anger	0.661	מארב
harass	anger	0.659	לְהָצִיק
malignant	anger	0.656	מַמְאִיר
aggressor	anger	0.656	תוֹקפָּן
gore	anger	0.656	לִנְגוֹחַ
destruction	anger	0.656	הֶרֶס
grudge	anger	0.656	טִינָה
antichrist	anger	0.656	אנטיכריסט
incense	anger	0.656	קְטוֹרֶת
expel	anger	0.656	לְגַרֵשׁ
cranky	anger	0.653	עצבני
slave	anger	0.652	עֶבֶד
reprisal	anger	0.652	תַגמוּל
growl	anger	0.652	לִנְהוֹם
animosity	anger	0.652	אֵיבָה
insurrection	anger	0.652	הִתקוֹמְמוּת
clashing	anger	0.652	מתנגשים
denounce	anger	0.652	לְהוֹקִיעַ
offended	anger	0.652	פגוע
spank	anger	0.652	סְטִירָה
insulting	anger	0.652	מַעֲלִיב
growls	anger	0.649	נהמות
executioner	anger	0.644	תליין
twat	anger	0.644	טמבל
doomsday	anger	0.643	יום הדין
obscenity	anger	0.641	מַעֲשֶׂה מְגוּנֶה
accused	anger	0.641	מואשם
feud	anger	0.641	סִכסוּך
daemon	anger	0.641	דמון
havoc	anger	0.641	הֶרֶס
shackle	anger	0.641	לִכבּוֹל
inexcusable	anger	0.641	בלתי נסלח
indignant	anger	0.641	מִתרַעֵם
grr	anger	0.641	גרר
expulsion	anger	0.641	גֵרוּשׁ
bombard	anger	0.641	לְהַפְצִיץ
spat	anger	0.641	ירק
arson	anger	0.641	הַצָתָה
reprimand	anger	0.641	לִנְזוֹף
somad	anger	0.637	כל כך כועס
frustrated	anger	0.636	מְתוּסכָּל
batter	anger	0.636	חמאה
kicking	anger	0.636	בועט
anarchy	anger	0.636	אֲנַרכִיָה
spanking	anger	0.636	זָרִיז
glaring	anger	0.636	בּוֹלֵט בְּיוֹתֵר
suicidal	anger	0.636	הִתאַבְּדוּתִי
disgusting	anger	0.636	מגעיל
wound	anger	0.636	פֶּצַע
hanging	anger	0.636	תְלִיָה
poisoned	anger	0.636	מוּרעָל
combatant	anger	0.636	לוֹחֶם
wrecked	anger	0.633	הרוס
inflict	anger	0.633	לִגרוֹם
grievous	anger	0.632	חָמוּר
prosecute	anger	0.630	לְהַעֲמִיד לָדִין
agitated	anger	0.630	נִסעָר
cheat	anger	0.630	לְרַמוֹת
swastika	anger	0.627	צְלָב קֶרֶס
injure	anger	0.625	לִפְגוֹעַ
indict	anger	0.625	לְהַאֲשִׁים
scourge	anger	0.625	שׁוֹט
provocation	anger	0.625	פּרוֹבוֹקָצִיָה
suffocation	anger	0.625	חֶנֶק
strife	anger	0.625	מְרִיבָה
raid	anger	0.625	לִפְשׁוֹט
enslaved	anger	0.625	מְשׁוּעֲבָּד
cursing	anger	0.625	קללות
defamatory	anger	0.625	מַשׁמִיץ
harassing	anger	0.625	הַטרָדָה
thundering	anger	0.625	רוֹעֵם
betray	anger	0.625	לבגוד
arsehole	anger	0.624	חור תחת
theft	anger	0.621	גְנֵבָה
insane	anger	0.621	מטורף
retaliation	anger	0.621	נְקָמָה
irritate	anger	0.621	לְגָרוֹת
deprivation	anger	0.621	מַחְסוֹר
fiend	anger	0.621	שָׂטָן
jerk	anger	0.621	אִידיוֹט
convict	anger	0.621	אָסִיר
cussed	anger	0.619	מקולל
turmoil	anger	0.618	אַנְדְרָלָמוּסִיָה
smack	anger	0.615	הֵרוֹאִין
retribution	anger	0.614	גְמוּל
rebellion	anger	0.609	מֶרֶד
oppressor	anger	0.609	מְדַכֵּא
gang	anger	0.609	כְּנוּפִיָה
slavery	anger	0.609	עַבדוּת
intolerable	anger	0.609	בִּלתִי נִסבָּל
adverse	anger	0.609	שְׁלִילִי
injurious	anger	0.609	פּוֹגֵעַ
twats	anger	0.609	שטויות
collision	anger	0.609	הִתנַגְשׁוּת
battery	anger	0.609	סוֹלְלָה
bitterly	anger	0.609	במרירות
antagonism	anger	0.609	הִתנַגְדוּת
irritability	anger	0.609	נִרגָנוּת
disgraced	anger	0.608	מבוזה
diatribe	anger	0.606	הַתקָפָה חֲרִיפָה
asshole	anger	0.606	מְטוּמטָם
blast	anger	0.606	פיצוץ
bombardment	anger	0.606	הַפצָצָה
irks	anger	0.606	איכס
ranting	anger	0.606	מתלהם
revolution	anger	0.606	מַהְפֵּכָה
thug	anger	0.606	בִּריוֹן
antagonistic	anger	0.606	אנטגוניסטי
irritating	anger	0.606	מְעַצבֵּן
