English Word	Emotion	Emotion-Intensity-Score	Ukrainian Word
outraged	anger	0.964	обурений
brutality	anger	0.959	жорстокість
hatred	anger	0.953	ненависть
hateful	anger	0.940	ненависний
terrorize	anger	0.939	тероризувати
violently	anger	0.938	насильно
infuriated	anger	0.938	розлючений
furious	anger	0.929	розлючений
furiously	anger	0.927	люто
enraged	anger	0.927	розлючений
screwyou	anger	0.924	до херня ти
murderer	anger	0.922	вбивця
fury	anger	0.922	лють
execution	anger	0.917	виконання
angered	anger	0.916	розгніваний
savagery	anger	0.915	дикість
slaughtering	anger	0.914	забій
veryangry	anger	0.913	дуже злий
assassinate	anger	0.912	вбити
annihilation	anger	0.912	анігіляція
fuckoff	anger	0.912	до біса
rage	anger	0.911	лють
loathe	anger	0.909	ненавидіти
fucktard	anger	0.906	дурень
roadrage	anger	0.906	дорога
damnation	anger	0.906	прокляття
homicidal	anger	0.906	вбивчий
furor	anger	0.900	фурор
hostile	anger	0.898	ворожий
annihilate	anger	0.898	анігілювати
murder	anger	0.897	вбивство
raging	anger	0.896	лютує
sopissed	anger	0.894	сопсований
infuriates	anger	0.894	обурює
pissed	anger	0.894	розлючений
rape	anger	0.894	зґвалтування
ferocious	anger	0.894	лютий
vengeful	anger	0.894	мстивий
obliterated	anger	0.894	стертий
explosive	anger	0.894	вибуховий
killing	anger	0.893	вбивство
combative	anger	0.891	бойовий
vengeance	anger	0.886	помста
gofuckyourself	anger	0.886	їдь до біса
torment	anger	0.885	мучити
wrath	anger	0.885	гнів
vicious	anger	0.884	порочний
massacre	anger	0.882	різанина
threatening	anger	0.882	погрозливий
abhorrent	anger	0.875	огидний
bloodthirsty	anger	0.875	кровожерний
pissoff	anger	0.875	Відчепись
fighting	anger	0.868	бойові дії
attacking	anger	0.865	атакуючий
annihilated	anger	0.865	знищений
angriest	anger	0.864	найзліший
bloodshed	anger	0.864	кровопролиття
smite	anger	0.862	вразити
brawl	anger	0.861	бійка
malicious	anger	0.859	зловмисний
assassination	anger	0.859	вбивство
strangle	anger	0.859	душити
hostility	anger	0.859	ворожість
assault	anger	0.859	напад
explode	anger	0.859	вибухнути
tirade	anger	0.859	тирада
loathsome	anger	0.857	огидний
hell	anger	0.853	пекло
murderous	anger	0.853	вбивчий
attack	anger	0.853	напад
malice	anger	0.852	злоба
terrorism	anger	0.851	тероризм
beating	anger	0.849	побиття
outrage	anger	0.848	обурення
desecration	anger	0.848	осквернення
pissingmeoff	anger	0.848	писячи мене
destroying	anger	0.844	знищуючи
slaughter	anger	0.844	забій
irate	anger	0.844	розлючений
violent	anger	0.844	жорстокий
stab	anger	0.844	колоти
abomination	anger	0.844	гидота
tumultuous	anger	0.844	бурхливий
infuriate	anger	0.844	обурювати
obliterate	anger	0.843	стерти
belligerent	anger	0.841	войовничий
dumbbitch	anger	0.841	тупа
detest	anger	0.838	ненавиджу
hostilities	anger	0.837	бойових дій
prick	anger	0.835	укол
rampage	anger	0.833	буйство
horrid	anger	0.833	жахливий
cruelty	anger	0.833	жорстокість
torture	anger	0.833	катування
rabid	anger	0.833	скажений
despicable	anger	0.828	підлий
tyrannical	anger	0.828	тиранічний
demonic	anger	0.828	демонічний
satanic	anger	0.828	сатанинський
hate	anger	0.828	ненависть
ragemode	anger	0.828	ragemode
hating	anger	0.828	ненавидячи
ruinous	anger	0.825	руйнівний
condemn	anger	0.825	засуджувати
riots	anger	0.824	заворушення
demolish	anger	0.824	знести
angry	anger	0.824	злий
extermination	anger	0.824	винищення
dickhead	anger	0.824	придурок
livid	anger	0.821	лівідний
madman	anger	0.820	божевільний
vindictive	anger	0.819	мстивий
terrorist	anger	0.818	терорист
threaten	anger	0.818	погрожувати
venomous	anger	0.818	отруйний
hateyou	anger	0.818	ненавиджу тебе
ferocity	anger	0.818	лютість
effyou	anger	0.818	effyou
abhor	anger	0.816	ненавидіти
carnage	anger	0.814	різанина
savage	anger	0.814	дикий
atrocity	anger	0.814	звірство
fucksake	anger	0.812	чортівка
abuse	anger	0.812	зловживання
fierce	anger	0.812	лютий
destroyer	anger	0.812	руйнівник
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	варварський
vendetta	anger	0.812	вендета
pissesmeoff	anger	0.812	злиться
pissedoff	anger	0.812	розлючений
tyrant	anger	0.812	тиран
berserk	anger	0.812	несамовитий
fuming	anger	0.812	димить
anger	anger	0.811	гнів
pieceofshit	anger	0.810	шматок лайна
punched	anger	0.803	пробитий
punching	anger	0.803	пробивання
slam	anger	0.803	грюкнути
homicide	anger	0.803	вбивство
bitch	anger	0.803	сука
fights	anger	0.803	бійки
ruthless	anger	0.797	безжальний
villainous	anger	0.797	злодійський
destructive	anger	0.797	руйнівний
slap	anger	0.791	ляпас
riot	anger	0.788	бунт
growthefuckup	anger	0.788	зростанняіпс
punishing	anger	0.788	караючи
slaughterhouse	anger	0.788	бійня
yelling	anger	0.788	кричати
diabolical	anger	0.788	диявольський
destroyed	anger	0.788	зруйновано
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	відплатний
manslaughter	anger	0.783	ненавмисне вбивство
clash	anger	0.783	зіткнення
quarrel	anger	0.781	сварка
bloody	anger	0.781	кривавий
hellish	anger	0.781	пекельний
sinister	anger	0.781	зловісний
loath	anger	0.781	ненависть
detonation	anger	0.781	детонація
accusing	anger	0.779	звинувачення
fumin	anger	0.779	фумін
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	віроломний
madder	anger	0.773	божевільніший
horrific	anger	0.773	жахливий
revulsion	anger	0.773	відраза
retaliate	anger	0.773	мстити
scorn	anger	0.769	презирство
bomb	anger	0.766	бомба
deplorable	anger	0.766	плачевний
devastation	anger	0.765	спустошення
anarchist	anger	0.765	анархіст
firestorm	anger	0.765	пожежна буря
resent	anger	0.765	обурюватися
contemptible	anger	0.764	презирливий
shittest	anger	0.760	лайно
rant	anger	0.758	нарікання
cruel	anger	0.758	жорстокий
deadly	anger	0.758	смертельний
smash	anger	0.758	розбити
soangry	anger	0.758	такий злий
outburst	anger	0.757	спалах
snarl	anger	0.754	гарчати
profane	anger	0.750	профанний
revolting	anger	0.750	огидний
aggravating	anger	0.750	обтяжуючий
horror	anger	0.750	жах
despise	anger	0.750	зневажати
offend	anger	0.750	образити
stfu	anger	0.750	stfu
vulgarity	anger	0.750	вульгарність
crazed	anger	0.750	божевільний
douchebags	anger	0.750	придурки
growling	anger	0.750	гарчання
dontmesswithme	anger	0.750	не возись зі мною
screaming	anger	0.742	кричати
threat	anger	0.742	загроза
erupt	anger	0.742	вивергатися
horrible	anger	0.742	жахливий
molestation	anger	0.742	розбещення
fuckedoff	anger	0.742	нахрен
violence	anger	0.742	насильство
bastards	anger	0.741	сволочі
revenge	anger	0.738	помста
menacing	anger	0.735	грізний
crushing	anger	0.735	дроблення
damn	anger	0.735	блін
catastrophe	anger	0.735	катастрофа
demon	anger	0.735	демон
argue	anger	0.734	сперечатися
persecute	anger	0.734	переслідувати
deplore	anger	0.734	жалкувати
flog	anger	0.734	пороти
fedup	anger	0.734	набридло
riotous	anger	0.734	буйний
vehement	anger	0.734	палкий
revolt	anger	0.734	повстання
warfare	anger	0.734	ведення війни
thrash	anger	0.734	треш
altercation	anger	0.729	сварка
warlike	anger	0.728	войовничий
shitday	anger	0.727	чортовий день
mutiny	anger	0.727	заколот
castrate	anger	0.727	каструвати
sabotage	anger	0.727	саботаж
malevolent	anger	0.721	зловмисний
strike	anger	0.721	страйк
disaster	anger	0.721	катастрофа
disastrous	anger	0.720	катастрофічним
bastarding	anger	0.719	сволота
treachery	anger	0.719	зрада
arseholes	anger	0.719	дупи
horseshit	anger	0.719	лайно
slay	anger	0.719	вбити
disdain	anger	0.719	зневага
aggravates	anger	0.719	посилює
brutal	anger	0.719	брутальний
scorching	anger	0.719	пекучий
devil	anger	0.719	диявол
madden	anger	0.719	божевільний
spiteful	anger	0.719	злісний
scream	anger	0.719	кричати
choke	anger	0.719	задушити
vermin	anger	0.719	паразити
tumult	anger	0.719	метушня
criminal	anger	0.714	кримінальний
mangle	anger	0.714	калити
anarchism	anger	0.714	анархізм
mutilation	anger	0.714	каліцтво
denunciation	anger	0.713	донос
punch	anger	0.713	удар
virulence	anger	0.712	вірулентність
fatal	anger	0.712	смертельна
hurting	anger	0.712	боляче
crucifixion	anger	0.712	розп'яття
dontlikeyou	anger	0.712	не подобається тобі
blasphemous	anger	0.712	блюзнірський
holocaust	anger	0.712	Голокост
dumbasses	anger	0.712	тупиці
battled	anger	0.712	бився
deranged	anger	0.706	божевільний
irritated	anger	0.706	роздратований
atrocious	anger	0.706	жорстокий
evil	anger	0.706	зло
aggravated	anger	0.703	загострюється
intimidation	anger	0.703	залякування
dicks	anger	0.703	члени
assassin	anger	0.703	вбивця
scolding	anger	0.703	лаяти
persecution	anger	0.703	переслідування
slayer	anger	0.703	вбивця
kidnap	anger	0.703	викрасти
aggression	anger	0.702	агресія
armed	anger	0.700	озброєний
battle	anger	0.697	бій
poison	anger	0.697	отрута
snarling	anger	0.697	гарчання
venom	anger	0.697	отрута
disgruntled	anger	0.693	незадоволений
resentment	anger	0.691	образа
assailant	anger	0.691	нападник
insidious	anger	0.691	підступний
contemptuous	anger	0.690	зневажливий
lynch	anger	0.690	лінчувати
temper	anger	0.688	темперамент
terrible	anger	0.688	жахливий
disparage	anger	0.688	зневага
lunatic	anger	0.688	божевільний
bully	anger	0.688	хуліган
mad	anger	0.688	божевільний
makesmemad	anger	0.688	робить memad
infanticide	anger	0.688	дітовбивство
domination	anger	0.688	панування
peeved	anger	0.688	роздратований
imprisonment	anger	0.688	позбавлення волі
curse	anger	0.688	прокляття
volatility	anger	0.687	волатильність
eradication	anger	0.685	викорінення
eradicate	anger	0.682	викорінювати
tantrum	anger	0.682	істерика
scoundrel	anger	0.682	негідник
devastate	anger	0.682	спустошити
aggressively	anger	0.680	агресивно
agitation	anger	0.680	агітація
dictatorship	anger	0.676	диктатура
irritates	anger	0.676	дратує
profanity	anger	0.673	ненормативна лексика
shove	anger	0.672	штовхати
nasty	anger	0.672	противний
shot	anger	0.672	постріл
cruelly	anger	0.672	жорстоко
shoot	anger	0.672	стріляти
condemnation	anger	0.672	засудження
crushed	anger	0.672	подрібнений
aggravation	anger	0.672	загострення
poisonous	anger	0.672	отруйний
egregious	anger	0.672	кричущий
crime	anger	0.672	злочинність
corrupting	anger	0.672	розбещуючи
