English Word	Emotion	Emotion-Intensity-Score	Gujarati Word
outraged	anger	0.964	નારાજ
brutality	anger	0.959	નિર્દયતા
hatred	anger	0.953	તિરસ્કાર
hateful	anger	0.940	દ્વેષપૂર્ણ
terrorize	anger	0.939	આતંકિત કરવું
violently	anger	0.938	હિંસક રીતે
infuriated	anger	0.938	ગુસ્સે
furious	anger	0.929	ગુસ્સે
furiously	anger	0.927	ગુસ્સાથી
enraged	anger	0.927	ગુસ્સે
screwyou	anger	0.924	તમે સ્ક્રૂ કરો
murderer	anger	0.922	હત્યારો
fury	anger	0.922	પ્રકોપ
execution	anger	0.917	અમલ
angered	anger	0.916	ગુસ્સે
savagery	anger	0.915	ક્રૂરતા
slaughtering	anger	0.914	કતલ
veryangry	anger	0.913	ખૂબ ગુસ્સે
assassinate	anger	0.912	હત્યા કરવી
annihilation	anger	0.912	વિનાશ
fuckoff	anger	0.912	વાહિયાત
rage	anger	0.911	ગુસ્સો
loathe	anger	0.909	તિરસ્કાર
fucktard	anger	0.906	વાહિયાત
roadrage	anger	0.906	રોડ રેજ
damnation	anger	0.906	નિંદા
homicidal	anger	0.906	હત્યાકાંડ
furor	anger	0.900	રોષ
hostile	anger	0.898	પ્રતિકૂળ
annihilate	anger	0.898	નાશ કરવો
murder	anger	0.897	હત્યા
raging	anger	0.896	રેગિંગ
sopissed	anger	0.894	ઉદાસ
infuriates	anger	0.894	ગુસ્સે કરે છે
pissed	anger	0.894	ગુસ્સે
rape	anger	0.894	બળાત્કાર
ferocious	anger	0.894	વિકરાળ
vengeful	anger	0.894	વેર વાળું
obliterated	anger	0.894	નાબૂદ
explosive	anger	0.894	વિસ્ફોટક
killing	anger	0.893	હત્યા
combative	anger	0.891	લડાયક
vengeance	anger	0.886	વેર
gofuckyourself	anger	0.886	જાતે ગોફકી
torment	anger	0.885	યાતના
wrath	anger	0.885	ક્રોધ
vicious	anger	0.884	પાપી
massacre	anger	0.882	હત્યાકાંડ
threatening	anger	0.882	ધમકી આપનાર
abhorrent	anger	0.875	ઘૃણાસ્પદ
bloodthirsty	anger	0.875	લોહિયાળ
pissoff	anger	0.875	પિસઓફ
fighting	anger	0.868	લડાઈ
attacking	anger	0.865	હુમલો
annihilated	anger	0.865	નાશ
angriest	anger	0.864	ગુસ્સે
bloodshed	anger	0.864	રક્તપાત
smite	anger	0.862	મારવું
brawl	anger	0.861	બોલાચાલી
malicious	anger	0.859	દૂષિત
