English Word	Emotion	Emotion-Intensity-Score	Sindhi Word
outraged	anger	0.964	ڪاوڙيل
brutality	anger	0.959	وحشت
hatred	anger	0.953	نفرت
hateful	anger	0.940	نفرت ڪندڙ
terrorize	anger	0.939	دهشت ڪرڻ
violently	anger	0.938	تشدد سان
infuriated	anger	0.938	ڪاوڙيل
furious	anger	0.929	ڪاوڙيل
furiously	anger	0.927	ڪاوڙ سان
enraged	anger	0.927	ڪاوڙيل
screwyou	anger	0.924	جهنم ۾ وڃو
murderer	anger	0.922	قاتل
fury	anger	0.922	ڪاوڙ
execution	anger	0.917	عملدرآمد
angered	anger	0.916	ناراض
savagery	anger	0.915	وحشي
slaughtering	anger	0.914	ذبح ڪرڻ
veryangry	anger	0.913	تمام گهڻو ناراض
assassinate	anger	0.912	قتل ڪرڻ
annihilation	anger	0.912	فنا ڪرڻ
fuckoff	anger	0.912	ڀڄڻ
rage	anger	0.911	ڪاوڙ
loathe	anger	0.909	نفرت ڪرڻ
fucktard	anger	0.906	بدمعاش
roadrage	anger	0.906	روڊ جو رستو
damnation	anger	0.906	لعنت
homicidal	anger	0.906	قتل عام
furor	anger	0.900	ڪاوڙ
hostile	anger	0.898	دشمني
annihilate	anger	0.898	نابود ڪرڻ
murder	anger	0.897	قتل
raging	anger	0.896	ڪاوڙجڻ
sopissed	anger	0.894	گندو
infuriates	anger	0.894	ناراض ڪري ٿو
pissed	anger	0.894	ڪاوڙيل
rape	anger	0.894	ريپ
ferocious	anger	0.894	وحشي
vengeful	anger	0.894	انتقامي
obliterated	anger	0.894	ختم ٿيل
explosive	anger	0.894	ڌماڪيدار
killing	anger	0.893	مارڻ
combative	anger	0.891	جنگي
vengeance	anger	0.886	انتقام
gofuckyourself	anger	0.886	پاڻ کي ڀڄائڻ
torment	anger	0.885	عذاب
wrath	anger	0.885	غضب
vicious	anger	0.884	شيطاني
massacre	anger	0.882	قتل عام
threatening	anger	0.882	ڌمڪيون ڏيڻ
abhorrent	anger	0.875	نفرت ڪندڙ
bloodthirsty	anger	0.875	خونخوار
