English Word	Emotion	Emotion-Intensity-Score	Amharic Word
outraged	anger	0.964	ተናደደ
brutality	anger	0.959	ጭካኔ
hatred	anger	0.953	ጥላቻ
hateful	anger	0.940	የጥላቻ
terrorize	anger	0.939	ማሸበር
violently	anger	0.938	በኃይል
infuriated	anger	0.938	ተናደደ
furious	anger	0.929	ተናደደ
furiously	anger	0.927	በንዴት
enraged	anger	0.927	ተናደደ
screwyou	anger	0.924	የራስህ ጉዳይ
murderer	anger	0.922	ነፍሰ ገዳይ
fury	anger	0.922	ቁጣ
execution	anger	0.917	ማስፈጸም
angered	anger	0.916	ተናደደ
savagery	anger	0.915	አረመኔነት
slaughtering	anger	0.914	ማረድ
veryangry	anger	0.913	በጣም የተናደደ
assassinate	anger	0.912	መግደል
annihilation	anger	0.912	መደምሰስ
fuckoff	anger	0.912	እብድ
rage	anger	0.911	ቁጣ
loathe	anger	0.909	መጸየፍ
fucktard	anger	0.906	ፌክታርድ
roadrage	anger	0.906	የመንገድ ቁጣ
damnation	anger	0.906	ኩነኔ
homicidal	anger	0.906	ነፍሰ ገዳይ
furor	anger	0.900	furor
hostile	anger	0.898	ጠበኛ
annihilate	anger	0.898	ማጥፋት
murder	anger	0.897	ግድያ
raging	anger	0.896	እየተናደዱ
sopissed	anger	0.894	የተራቀቀ
infuriates	anger	0.894	ያናድዳል
pissed	anger	0.894	ተናደደ
rape	anger	0.894	መደፈር
ferocious	anger	0.894	ጨካኝ
vengeful	anger	0.894	በቀል የተሞላ
obliterated	anger	0.894	ተደምስሷል
explosive	anger	0.894	የሚፈነዳ
killing	anger	0.893	መግደል
combative	anger	0.891	ተዋጊ
vengeance	anger	0.886	በቀል
gofuckyourself	anger	0.886	እራስህን ያዝ
torment	anger	0.885	ስቃይ
wrath	anger	0.885	ቁጣ
vicious	anger	0.884	ጨካኝ
massacre	anger	0.882	እልቂት
threatening	anger	0.882	ማስፈራራት
abhorrent	anger	0.875	አስጸያፊ
bloodthirsty	anger	0.875	ደም መጣጭ
pissoff	anger	0.875	መሽናት
fighting	anger	0.868	መዋጋት
attacking	anger	0.865	ማጥቃት
annihilated	anger	0.865	ተደምስሷል
angriest	anger	0.864	በጣም የተናደደ
bloodshed	anger	0.864	ደም መፋሰስ
smite	anger	0.862	መምታት
brawl	anger	0.861	ፍጥጫ
malicious	anger	0.859	ተንኮለኛ
assassination	anger	0.859	ግድያ
strangle	anger	0.859	አንቆ
hostility	anger	0.859	ጠላትነት
assault	anger	0.859	ጥቃት
explode	anger	0.859	ፍንዳታ
tirade	anger	0.859	ቲራዴ
loathsome	anger	0.857	አስጸያፊ
hell	anger	0.853	ሲኦል
murderous	anger	0.853	ገዳይ
attack	anger	0.853	ማጥቃት
malice	anger	0.852	ክፋት
terrorism	anger	0.851	ሽብርተኝነት
beating	anger	0.849	ድብደባ
outrage	anger	0.848	ቁጣ
desecration	anger	0.848	ርኩሰት
pissingmeoff	anger	0.848	መበሳጨት
destroying	anger	0.844	ማጥፋት
slaughter	anger	0.844	እርድ
irate	anger	0.844	ተናደድኩ
violent	anger	0.844	ጉልበተኛ
stab	anger	0.844	መውጋት
abomination	anger	0.844	አስጸያፊ
tumultuous	anger	0.844	ግርግር
infuriate	anger	0.844	ተናደድኩ
obliterate	anger	0.843	መደምሰስ
belligerent	anger	0.841	ተዋጊ
dumbbitch	anger	0.841	ደደብ
detest	anger	0.838	መጸየፍ
hostilities	anger	0.837	ግጭቶች
prick	anger	0.835	መወጋት
rampage	anger	0.833	ወረራ
horrid	anger	0.833	አስፈሪ
cruelty	anger	0.833	ጭካኔ
torture	anger	0.833	ማሰቃየት
rabid	anger	0.833	እብድ
despicable	anger	0.828	ወራዳ
tyrannical	anger	0.828	አምባገነን
demonic	anger	0.828	አጋንንታዊ
satanic	anger	0.828	ሰይጣናዊ
hate	anger	0.828	መጥላት
ragemode	anger	0.828	ragemode
hating	anger	0.828	መጥላት
ruinous	anger	0.825	አጥፊ
condemn	anger	0.825	ማውገዝ
riots	anger	0.824	ብጥብጥ
demolish	anger	0.824	ማፍረስ
angry	anger	0.824	ተናደደ
extermination	anger	0.824	ማጥፋት
dickhead	anger	0.824	dickhead
livid	anger	0.821	ሊቪድ
madman	anger	0.820	እብድ
vindictive	anger	0.819	ተበዳይ
terrorist	anger	0.818	አሸባሪ
threaten	anger	0.818	ማስፈራራት
venomous	anger	0.818	መርዝ
hateyou	anger	0.818	እጠልሃለው
ferocity	anger	0.818	ጨካኝነት
effyou	anger	0.818	እፍህ
abhor	anger	0.816	ተጸየፉ
carnage	anger	0.814	እልቂት
savage	anger	0.814	አረመኔ
atrocity	anger	0.814	አረመኔያዊ ድርጊት
fucksake	anger	0.812	ፌክሳክ
abuse	anger	0.812	አላግባብ መጠቀም
fierce	anger	0.812	ጨካኝ
destroyer	anger	0.812	አጥፊ
angrytweet	anger	0.812	ቁጣ ትዊት
barbaric	anger	0.812	አረመኔያዊ
vendetta	anger	0.812	ቬንዳታ
pissesmeoff	anger	0.812	መበሳጨት
pissedoff	anger	0.812	መናደድ
tyrant	anger	0.812	አምባገነን
berserk	anger	0.812	በረንዳ
fuming	anger	0.812	መተኮስ
anger	anger	0.811	ቁጣ
pieceofshit	anger	0.810	ቁርጥራጭ
punched	anger	0.803	በቡጢ ተመታ
punching	anger	0.803	በቡጢ መምታት
slam	anger	0.803	ስድብ
homicide	anger	0.803	ግድያ
bitch	anger	0.803	ሴት ዉሻ
fights	anger	0.803	ይዋጋል
ruthless	anger	0.797	ጨካኝ
villainous	anger	0.797	ወራዳ
destructive	anger	0.797	አጥፊ
slap	anger	0.791	በጥፊ መምታት
riot	anger	0.788	ግርግር
growthefuckup	anger	0.788	የእድገት እብደት
punishing	anger	0.788	መቅጣት
slaughterhouse	anger	0.788	እርድ ቤት
yelling	anger	0.788	መጮህ
diabolical	anger	0.788	ዲያብሎሳዊ
destroyed	anger	0.788	ተደምስሷል
ragetweet	anger	0.788	ራግ ትዊት
retaliatory	anger	0.788	አጸፋዊ
manslaughter	anger	0.783	ግድያ
clash	anger	0.783	ግጭት
quarrel	anger	0.781	መጣላት
bloody	anger	0.781	ደም አፍሳሽ
hellish	anger	0.781	ገሃነም
sinister	anger	0.781	ክፉ
loath	anger	0.781	መጸየፍ
detonation	anger	0.781	ፍንዳታ
accusing	anger	0.779	መክሰስ
fumin	anger	0.779	ፉሚን
hateeee	anger	0.779	ጠላ
treacherous	anger	0.779	አታላይ
madder	anger	0.773	እብድ
horrific	anger	0.773	አሰቃቂ
revulsion	anger	0.773	መበሳጨት
retaliate	anger	0.773	መበቀል
scorn	anger	0.769	ንቀት
bomb	anger	0.766	ቦምብ
