English Word	Emotion	Emotion-Intensity-Score	Thai Word
outraged	anger	0.964	โกรธเคือง
brutality	anger	0.959	ความโหดร้าย
hatred	anger	0.953	ความเกลียดชัง
hateful	anger	0.940	เกลียดชัง
terrorize	anger	0.939	ข่มขู่
violently	anger	0.938	อย่างรุนแรง
infuriated	anger	0.938	โกรธเคือง
furious	anger	0.929	กราดเกรี้ยว
furiously	anger	0.927	อย่างฉุนเฉียว
enraged	anger	0.927	โกรธเคือง
screwyou	anger	0.924	ขี้เมา
murderer	anger	0.922	ฆาตกร
fury	anger	0.922	ความโกรธ
execution	anger	0.917	การดำเนินการ
angered	anger	0.916	โกรธ
savagery	anger	0.915	ความดุร้าย
slaughtering	anger	0.914	การเชือด
veryangry	anger	0.913	โกรธมาก
assassinate	anger	0.912	ลอบสังหาร
annihilation	anger	0.912	การทำลายล้าง
fuckoff	anger	0.912	ไอ้เหี้ย
rage	anger	0.911	ความโกรธ
loathe	anger	0.909	เกลียด
fucktard	anger	0.906	ไอ้เหี้ย
roadrage	anger	0.906	โรดเรจ
damnation	anger	0.906	สาปแช่ง
homicidal	anger	0.906	ฆาตกรรม
furor	anger	0.900	ความโกรธเคือง
hostile	anger	0.898	ศัตรู
annihilate	anger	0.898	ทำลาย
murder	anger	0.897	ฆาตกรรม
raging	anger	0.896	โกรธ
sopissed	anger	0.894	หม่นหมอง
infuriates	anger	0.894	โกรธเคือง
pissed	anger	0.894	โกรธ
rape	anger	0.894	ข่มขืน
ferocious	anger	0.894	ดุร้าย
vengeful	anger	0.894	พยาบาท
obliterated	anger	0.894	หายไป
explosive	anger	0.894	ระเบิด
killing	anger	0.893	ฆ่า
combative	anger	0.891	ต่อสู้
vengeance	anger	0.886	การล้างแค้น
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	การทรมาน
wrath	anger	0.885	ความโกรธ
vicious	anger	0.884	ชั่วร้าย
massacre	anger	0.882	การสังหารหมู่
threatening	anger	0.882	ข่มขู่
abhorrent	anger	0.875	น่ารังเกียจ
bloodthirsty	anger	0.875	กระหายเลือด
pissoff	anger	0.875	pissoff
fighting	anger	0.868	การต่อสู้
attacking	anger	0.865	โจมตี
annihilated	anger	0.865	ถูกทำลายล้าง
angriest	anger	0.864	โกรธที่สุด
bloodshed	anger	0.864	การนองเลือด
smite	anger	0.862	ตี
brawl	anger	0.861	ทะเลาะวิวาท
malicious	anger	0.859	มุ่งร้าย
assassination	anger	0.859	ลอบสังหาร
strangle	anger	0.859	รัดคอ
hostility	anger	0.859	ความเกลียดชัง
assault	anger	0.859	จู่โจม
explode	anger	0.859	ระเบิด
tirade	anger	0.859	ด่าว่า
loathsome	anger	0.857	น่ารังเกียจ
hell	anger	0.853	นรก
murderous	anger	0.853	ฆาตกรรม
attack	anger	0.853	จู่โจม
malice	anger	0.852	ความอาฆาตพยาบาท
terrorism	anger	0.851	การก่อการร้าย
beating	anger	0.849	ตี
outrage	anger	0.848	ความขุ่นเคือง
desecration	anger	0.848	การทำลายล้าง
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ทำลาย
slaughter	anger	0.844	ฆ่า
irate	anger	0.844	โกรธ
violent	anger	0.844	รุนแรง
stab	anger	0.844	แทง
abomination	anger	0.844	สิ่งที่น่ารังเกียจ
tumultuous	anger	0.844	วุ่นวาย
infuriate	anger	0.844	โกรธเคือง
obliterate	anger	0.843	ลบล้าง
belligerent	anger	0.841	คู่ต่อสู้
dumbbitch	anger	0.841	ไอ้โง่
detest	anger	0.838	ต่อต้าน
hostilities	anger	0.837	สงคราม
prick	anger	0.835	ทิ่ม
rampage	anger	0.833	อาละวาด
horrid	anger	0.833	น่าสยดสยอง
cruelty	anger	0.833	ความโหดร้าย
torture	anger	0.833	ทรมาน
rabid	anger	0.833	บ้าคลั่ง
despicable	anger	0.828	น่ารังเกียจ
tyrannical	anger	0.828	เผด็จการ
demonic	anger	0.828	ปีศาจ
satanic	anger	0.828	ซาตาน
hate	anger	0.828	เกลียด
ragemode	anger	0.828	ragemode
hating	anger	0.828	เกลียด
ruinous	anger	0.825	หายนะ
