English Word	Emotion	Emotion-Intensity-Score	German Word
outraged	anger	0.964	empört
brutality	anger	0.959	Brutalität
hatred	anger	0.953	Hass
hateful	anger	0.940	hasserfüllt
terrorize	anger	0.939	terrorisieren
violently	anger	0.938	heftig
infuriated	anger	0.938	wütend
furious	anger	0.929	wütend
furiously	anger	0.927	wütend
enraged	anger	0.927	wütend
screwyou	anger	0.924	fick dich ins Knie
murderer	anger	0.922	Mörder
fury	anger	0.922	Zorn
execution	anger	0.917	Hinrichtung
angered	anger	0.916	verärgert
savagery	anger	0.915	Wildheit
slaughtering	anger	0.914	Schlachten
veryangry	anger	0.913	sehr wütend
assassinate	anger	0.912	ermorden
annihilation	anger	0.912	Vernichtung
fuckoff	anger	0.912	Verpiss dich
rage	anger	0.911	Wut
loathe	anger	0.909	verabscheuen
fucktard	anger	0.906	Scheißkerl
roadrage	anger	0.906	Straßenwut
damnation	anger	0.906	Verdammnis
homicidal	anger	0.906	mörderisch
furor	anger	0.900	Aufruhr
hostile	anger	0.898	feindlich
annihilate	anger	0.898	vernichten
murder	anger	0.897	Mord
raging	anger	0.896	tobt
sopissed	anger	0.894	so sauer
infuriates	anger	0.894	macht wütend
pissed	anger	0.894	besoffen
rape	anger	0.894	vergewaltigen
ferocious	anger	0.894	wild
vengeful	anger	0.894	rachsüchtig
obliterated	anger	0.894	ausgelöscht
explosive	anger	0.894	explosiv
killing	anger	0.893	Tötung
combative	anger	0.891	kämpferisch
vengeance	anger	0.886	Rache
gofuckyourself	anger	0.886	fick dich
torment	anger	0.885	quälen
wrath	anger	0.885	Zorn
vicious	anger	0.884	bösartig
massacre	anger	0.882	Massaker
threatening	anger	0.882	bedrohlich
abhorrent	anger	0.875	abscheulich
bloodthirsty	anger	0.875	blutrünstig
pissoff	anger	0.875	verpiss dich
fighting	anger	0.868	Kampf
attacking	anger	0.865	angreifen
annihilated	anger	0.865	vernichtet
angriest	anger	0.864	am wütendsten
bloodshed	anger	0.864	Blutvergießen
smite	anger	0.862	schlagen
brawl	anger	0.861	Schlägerei
malicious	anger	0.859	bösartig
assassination	anger	0.859	Ermordung
strangle	anger	0.859	erwürgen
hostility	anger	0.859	Feindseligkeit
assault	anger	0.859	Angriff
explode	anger	0.859	explodieren
tirade	anger	0.859	Tirade
loathsome	anger	0.857	abscheulich
hell	anger	0.853	Hölle
murderous	anger	0.853	mörderisch
attack	anger	0.853	Attacke
malice	anger	0.852	Bosheit
terrorism	anger	0.851	Terrorismus
beating	anger	0.849	Prügel
outrage	anger	0.848	Empörung
desecration	anger	0.848	Entweihung
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	zerstören
slaughter	anger	0.844	schlachten
irate	anger	0.844	wütend
violent	anger	0.844	heftig
stab	anger	0.844	stechen
abomination	anger	0.844	Gräuel
tumultuous	anger	0.844	turbulent
infuriate	anger	0.844	wütend machen
obliterate	anger	0.843	auslöschen
belligerent	anger	0.841	kriegerisch
dumbbitch	anger	0.841	Dummkopf
detest	anger	0.838	verabscheuen
hostilities	anger	0.837	Feindseligkeiten
prick	anger	0.835	stechen
rampage	anger	0.833	Amoklauf
horrid	anger	0.833	schrecklich
cruelty	anger	0.833	Grausamkeit
torture	anger	0.833	Folter
rabid	anger	0.833	tollwütig
despicable	anger	0.828	Verabscheuungswürdig
tyrannical	anger	0.828	tyrannisch
demonic	anger	0.828	dämonisch
satanic	anger	0.828	satanisch
hate	anger	0.828	hassen
ragemode	anger	0.828	Wutmodus
hating	anger	0.828	hassen
ruinous	anger	0.825	ruinös
condemn	anger	0.825	verurteilen
riots	anger	0.824	Unruhen
demolish	anger	0.824	zerstören
angry	anger	0.824	wütend
