English Word	Emotion	Emotion-Intensity-Score	Kurdish-Kurmanji Word
outraged	anger	0.964	hêrs bûn
brutality	anger	0.959	bêwîjdanî
hatred	anger	0.953	nefret
hateful	anger	0.940	nifretane
terrorize	anger	0.939	terorkirin
violently	anger	0.938	bi tundî
infuriated	anger	0.938	hêrs kirin
furious	anger	0.929	hêrshat
furiously	anger	0.927	bi hêrs
enraged	anger	0.927	hêrs kirin
screwyou	anger	0.924	mêrê bilind û zirav
murderer	anger	0.922	qatil
fury	anger	0.922	hêrs
execution	anger	0.917	birêverbirî
angered	anger	0.916	hêrs kirin
savagery	anger	0.915	hovîtî
slaughtering	anger	0.914	serjêkirin
veryangry	anger	0.913	pir hêrs
assassinate	anger	0.912	kûştin
annihilation	anger	0.912	qirkirinî
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	hêrs
loathe	anger	0.909	nefret kirin
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	roadrage
damnation	anger	0.906	lanet
homicidal	anger	0.906	kuştinê
furor	anger	0.900	furor
hostile	anger	0.898	neyar
annihilate	anger	0.898	qirkirin
murder	anger	0.897	kûştin
raging	anger	0.896	raging
sopissed	anger	0.894	sopî kirin
infuriates	anger	0.894	hêrs dike
pissed	anger	0.894	pîs kirin
rape	anger	0.894	bazserdanî
ferocious	anger	0.894	ferocious
vengeful	anger	0.894	tolhildêr
obliterated	anger	0.894	ji holê rakirin
explosive	anger	0.894	teqîn
killing	anger	0.893	kuştin
combative	anger	0.891	şerker
vengeance	anger	0.886	heyf
gofuckyourself	anger	0.886	xwe bixapîne
torment	anger	0.885	tade
wrath	anger	0.885	xezeb
vicious	anger	0.884	vicious
massacre	anger	0.882	qirkirin
threatening	anger	0.882	tehdît dikin
abhorrent	anger	0.875	nefret
bloodthirsty	anger	0.875	xwînxwar
pissoff	anger	0.875	hesta hevbeş
fighting	anger	0.868	şer dikin
attacking	anger	0.865	êrîş kirin
annihilated	anger	0.865	tine kirin
angriest	anger	0.864	hêrstirîn
bloodshed	anger	0.864	xwînrêjî
smite	anger	0.862	lêdan
brawl	anger	0.861	pevçûn
malicious	anger	0.859	malicious
assassination	anger	0.859	mêrkûjî
strangle	anger	0.859	xeniqandin
hostility	anger	0.859	neyarî
assault	anger	0.859	êriş
explode	anger	0.859	teqîn
tirade	anger	0.859	tirade
loathsome	anger	0.857	nefret
hell	anger	0.853	cehnem
murderous	anger	0.853	kujer
attack	anger	0.853	êriş
malice	anger	0.852	dilnexwazî
terrorism	anger	0.851	terorîzm
beating	anger	0.849	lêdan
outrage	anger	0.848	acizî
desecration	anger	0.848	xirakirin
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	hilweşandin
slaughter	anger	0.844	serjêkirin
irate	anger	0.844	irate
violent	anger	0.844	cebrî
stab	anger	0.844	têrekirin
abomination	anger	0.844	nefret
tumultuous	anger	0.844	tumultuous
infuriate	anger	0.844	qeherandin
obliterate	anger	0.843	ji holê rakirin
belligerent	anger	0.841	şerxwaz
dumbbitch	anger	0.841	dumbbitch
detest	anger	0.838	nefret kirin
hostilities	anger	0.837	dijminatiyan
prick	anger	0.835	piçik
rampage	anger	0.833	rampage
horrid	anger	0.833	tirsnak
cruelty	anger	0.833	hovîtî
torture	anger	0.833	îşkence
rabid	anger	0.833	rabid
despicable	anger	0.828	nefret
tyrannical	anger	0.828	zalim
demonic	anger	0.828	cinan
satanic	anger	0.828	şeytanî
hate	anger	0.828	nifret
ragemode	anger	0.828	ragemode
hating	anger	0.828	nefret kirin
ruinous	anger	0.825	wêranker
condemn	anger	0.825	mehkûmkirin
riots	anger	0.824	serhildanan
demolish	anger	0.824	hilweşînin
angry	anger	0.824	hêrsbû
extermination	anger	0.824	qelihandinî
dickhead	anger	0.824	dickhead
livid	anger	0.821	livid
madman	anger	0.820	dîn
vindictive	anger	0.819	serhevdekir
terrorist	anger	0.818	terorîst
threaten	anger	0.818	çavtirsandin
venomous	anger	0.818	jehrî
hateyou	anger	0.818	ji te nefret dikin
ferocity	anger	0.818	hovîtî
effyou	anger	0.818	effyou
abhor	anger	0.816	nefret kirin
carnage	anger	0.814	kûjarî
savage	anger	0.814	bejî
atrocity	anger	0.814	hovîtî
fucksake	anger	0.812	fucksake
abuse	anger	0.812	nebaşkaranî
fierce	anger	0.812	hêrsane
destroyer	anger	0.812	wêrankar
angrytweet	anger	0.812	angrytweet
barbaric	anger	0.812	bejîtî
vendetta	anger	0.812	venetta
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	rojbûna te kengê ye
tyrant	anger	0.812	zalim
berserk	anger	0.812	berserk
fuming	anger	0.812	fuming
anger	anger	0.811	hêrs
pieceofshit	anger	0.810	perçeofshit
punched	anger	0.803	lêxistin
punching	anger	0.803	punching
slam	anger	0.803	slam
homicide	anger	0.803	kûştinî
bitch	anger	0.803	dêlik
fights	anger	0.803	şer dike
ruthless	anger	0.797	bêbal
villainous	anger	0.797	xerabkar
destructive	anger	0.797	wêranker
slap	anger	0.791	lêxistin
riot	anger	0.788	tevketî
growthefuckup	anger	0.788	mezinbûn
punishing	anger	0.788	cezakirin
slaughterhouse	anger	0.788	qesabxane
yelling	anger	0.788	qîrîn
diabolical	anger	0.788	şeytanî
destroyed	anger	0.788	hilweşandin
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	tolhildan
manslaughter	anger	0.783	derba kûştinê
clash	anger	0.783	hevketinî
quarrel	anger	0.781	şer
bloody	anger	0.781	xûnî
hellish	anger	0.781	dojeh
sinister	anger	0.781	sinister
loath	anger	0.781	loath
detonation	anger	0.781	teqîn
accusing	anger	0.779	tawanbar kirin
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateee
treacherous	anger	0.779	xayîn
madder	anger	0.773	madder
horrific	anger	0.773	horrific
revulsion	anger	0.773	revulsion
retaliate	anger	0.773	tolhildan
scorn	anger	0.769	rûreşkirin
bomb	anger	0.766	bimbe
deplorable	anger	0.766	xemgîn
devastation	anger	0.765	wêranî
anarchist	anger	0.765	anarşîst
firestorm	anger	0.765	firestorm
resent	anger	0.765	başnedîtin
contemptible	anger	0.764	riswane
shittest	anger	0.760	shittest
rant	anger	0.758	rant
cruel	anger	0.758	hovane
deadly	anger	0.758	mirarî
smash	anger	0.758	zorbirin
soangry	anger	0.758	soangry
outburst	anger	0.757	derketin
snarl	anger	0.754	snarl
profane	anger	0.750	profane
revolting	anger	0.750	serhildan
aggravating	anger	0.750	acizker
horror	anger	0.750	xof
despise	anger	0.750	çepelkirin
offend	anger	0.750	êşandin
stfu	anger	0.750	stfu
vulgarity	anger	0.750	vulgarity
crazed	anger	0.750	gêjbûn
douchebags	anger	0.750	douchebags
growling	anger	0.750	girîn
dontmesswithme	anger	0.750	dontmesswithme
screaming	anger	0.742	qîrîn
threat	anger	0.742	tirsavêtinî
erupt	anger	0.742	revîn
horrible	anger	0.742	xofane
molestation	anger	0.742	tacîzkirin
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	cebr
bastards	anger	0.741	bastards
revenge	anger	0.738	heyf
menacing	anger	0.735	menacing
crushing	anger	0.735	perçiqandin
damn	anger	0.735	lanet
catastrophe	anger	0.735	hetik
demon	anger	0.735	xerfît
argue	anger	0.734	şerkirin
persecute	anger	0.734	şopketin
deplore	anger	0.734	şermezar dikin
flog	anger	0.734	flog
fedup	anger	0.734	bênteng bûyî
riotous	anger	0.734	riotous
vehement	anger	0.734	tundî
revolt	anger	0.734	rabûn
warfare	anger	0.734	şer
thrash	anger	0.734	thrash
altercation	anger	0.729	pevçûn
warlike	anger	0.728	şerxwaz
shitday	anger	0.727	şitday
mutiny	anger	0.727	serhildan
castrate	anger	0.727	xesîn
sabotage	anger	0.727	hilweşîn
malevolent	anger	0.721	malevolent
strike	anger	0.721	karberdan
disaster	anger	0.721	filaket
disastrous	anger	0.720	filakten
bastarding	anger	0.719	bastkirin
treachery	anger	0.719	xayîntî
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	horseshit
slay	anger	0.719	kuştin
disdain	anger	0.719	nefret kirin
aggravates	anger	0.719	giran dike
brutal	anger	0.719	wehşîyane
scorching	anger	0.719	şewitandin
devil	anger	0.719	şeytan
madden	anger	0.719	dîn
spiteful	anger	0.719	direş
scream	anger	0.719	qîrîn
choke	anger	0.719	xeniqandin
vermin	anger	0.719	vermin
tumult	anger	0.719	tumult
criminal	anger	0.714	emelxirab
mangle	anger	0.714	mangle
anarchism	anger	0.714	anarşîzm
mutilation	anger	0.714	sinetkirin
denunciation	anger	0.713	danasîn
punch	anger	0.713	punch
virulence	anger	0.712	virulence
fatal	anger	0.712	kûşte
