English Word	Emotion	Emotion-Intensity-Score	Persian Word
outraged	anger	0.964	عصبانی
brutality	anger	0.959	وحشیگری
hatred	anger	0.953	نفرت
hateful	anger	0.940	نفرت انگیز
terrorize	anger	0.939	به وحشت انداختن
violently	anger	0.938	با خشونت
infuriated	anger	0.938	خشمگین شد
furious	anger	0.929	خشمگین
furiously	anger	0.927	با عصبانیت
enraged	anger	0.927	خشمگین
screwyou	anger	0.924	لعنت به تو
murderer	anger	0.922	قاتل
fury	anger	0.922	خشم
execution	anger	0.917	اعدام
angered	anger	0.916	خشمگین شد
savagery	anger	0.915	وحشی گری
slaughtering	anger	0.914	ذبح کردن
veryangry	anger	0.913	خیلی عصبانی
assassinate	anger	0.912	ترور کردن
annihilation	anger	0.912	نابودی
fuckoff	anger	0.912	لعنتی
rage	anger	0.911	خشم
loathe	anger	0.909	متنفر بودن
fucktard	anger	0.906	فکتارد
roadrage	anger	0.906	خشم جاده
damnation	anger	0.906	لعنت
homicidal	anger	0.906	قتل
furor	anger	0.900	خشم
hostile	anger	0.898	خصومت آمیز
annihilate	anger	0.898	نابود کردن
murder	anger	0.897	آدم کشی
raging	anger	0.896	خشمگین
sopissed	anger	0.894	غمگین
infuriates	anger	0.894	خشمگین می کند
pissed	anger	0.894	عصبانی
rape	anger	0.894	تجاوز جنسی
ferocious	anger	0.894	وحشی
vengeful	anger	0.894	انتقام جو
obliterated	anger	0.894	محو شده
explosive	anger	0.894	مواد منفجره
killing	anger	0.893	کشتن
combative	anger	0.891	رزمنده
vengeance	anger	0.886	انتقام گرفتن
gofuckyourself	anger	0.886	خودت لعنتی
torment	anger	0.885	عذاب
wrath	anger	0.885	خشم
vicious	anger	0.884	شریر، بدجنس، حیوان صفت
massacre	anger	0.882	قتل عام
threatening	anger	0.882	تهدید کننده
abhorrent	anger	0.875	نفرت انگیز
bloodthirsty	anger	0.875	تشنه به خون
pissoff	anger	0.875	پیس آف
fighting	anger	0.868	زد و خورد
attacking	anger	0.865	هجوم بردن
annihilated	anger	0.865	نابود شد
angriest	anger	0.864	عصبانی ترین
bloodshed	anger	0.864	خونریزی
smite	anger	0.862	ضربه زدن
brawl	anger	0.861	نزاع
malicious	anger	0.859	مخرب
assassination	anger	0.859	ترور
strangle	anger	0.859	خفه کردن
hostility	anger	0.859	خصومت
assault	anger	0.859	حمله
explode	anger	0.859	منفجر شود
tirade	anger	0.859	نطق غرا
loathsome	anger	0.857	نفرت انگیز
hell	anger	0.853	جهنم
murderous	anger	0.853	قاتل
attack	anger	0.853	حمله کنند
malice	anger	0.852	بدخواهی
terrorism	anger	0.851	تروریسم
beating	anger	0.849	كتك زدن
outrage	anger	0.848	خشم
desecration	anger	0.848	هتک حرمت
pissingmeoff	anger	0.848	پیسینگ میوف
destroying	anger	0.844	تخریب کردن
slaughter	anger	0.844	ذبح
irate	anger	0.844	خشمگین
violent	anger	0.844	خشن
stab	anger	0.844	چاقو زدن
abomination	anger	0.844	عمل شنیع
tumultuous	anger	0.844	پر آشوب
infuriate	anger	0.844	خشمگین کردن
obliterate	anger	0.843	محو کردن
belligerent	anger	0.841	جنگ طلب
dumbbitch	anger	0.841	ابله
detest	anger	0.838	نفرت داشتن
hostilities	anger	0.837	خصومت ها
prick	anger	0.835	نیش زدن
rampage	anger	0.833	داد و بیداد
horrid	anger	0.833	وحشتناک
cruelty	anger	0.833	ظلم و ستم
torture	anger	0.833	شکنجه
rabid	anger	0.833	هار
despicable	anger	0.828	نفرت انگیز
tyrannical	anger	0.828	ظالم
demonic	anger	0.828	اهریمنی
satanic	anger	0.828	شیطانی
hate	anger	0.828	نفرت
ragemode	anger	0.828	ragemode
hating	anger	0.828	متنفر بودن
ruinous	anger	0.825	ویرانگر
condemn	anger	0.825	محکوم کردن
riots	anger	0.824	شورش ها
demolish	anger	0.824	تخریب
angry	anger	0.824	خشمگین
extermination	anger	0.824	نابودی
dickhead	anger	0.824	کله دیسک
livid	anger	0.821	پر جنب و جوش
madman	anger	0.820	دیوانه
vindictive	anger	0.819	کینه جویانه
terrorist	anger	0.818	تروریست
threaten	anger	0.818	تهدید کند
venomous	anger	0.818	زهرآگین
hateyou	anger	0.818	ازت متنفرم
ferocity	anger	0.818	وحشیگری
effyou	anger	0.818	شما
abhor	anger	0.816	بیزاری
carnage	anger	0.814	قتل عام
savage	anger	0.814	وحشی
atrocity	anger	0.814	قساوت
fucksake	anger	0.812	لعنتی
abuse	anger	0.812	سو استفاده کردن
fierce	anger	0.812	شدید
destroyer	anger	0.812	ناوشکن
angrytweet	anger	0.812	عصبانی توییت
barbaric	anger	0.812	وحشیانه
vendetta	anger	0.812	انتقام
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	عصبانی
tyrant	anger	0.812	ظالم
berserk	anger	0.812	دیوانه شدن از خشم
fuming	anger	0.812	دود
anger	anger	0.811	عصبانیت
pieceofshit	anger	0.810	قطعه افشیت
punched	anger	0.803	مشت زد
punching	anger	0.803	مشت زدن
slam	anger	0.803	ضربه زدن
homicide	anger	0.803	قتل
bitch	anger	0.803	عوضی
fights	anger	0.803	دعوا می کند
ruthless	anger	0.797	بی رحم
villainous	anger	0.797	شرور
destructive	anger	0.797	مخرب
slap	anger	0.791	سیلی زدن
riot	anger	0.788	شورش
growthefuckup	anger	0.788	رشد رشد
punishing	anger	0.788	تنبیه کردن
slaughterhouse	anger	0.788	کشتارگاه
yelling	anger	0.788	فریاد زدن
diabolical	anger	0.788	شیطانی
destroyed	anger	0.788	نابود
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	تلافی جویانه
manslaughter	anger	0.783	قتل غیر عمد
clash	anger	0.783	درگیری
quarrel	anger	0.781	نزاع
bloody	anger	0.781	خونین
hellish	anger	0.781	جهنمی
sinister	anger	0.781	شیطانی
loath	anger	0.781	نفرت
detonation	anger	0.781	انفجار
accusing	anger	0.779	متهم کردن
fumin	anger	0.779	فومین
hateeee	anger	0.779	متنفری
treacherous	anger	0.779	خائنانه
madder	anger	0.773	دیوانه تر
horrific	anger	0.773	دلهره آور
revulsion	anger	0.773	تنفر شدید
retaliate	anger	0.773	تلافی کردن
scorn	anger	0.769	تمسخر
bomb	anger	0.766	بمب
deplorable	anger	0.766	اسفناک
devastation	anger	0.765	ویرانی
anarchist	anger	0.765	هرج و مرج طلب
firestorm	anger	0.765	طوفان آتش
resent	anger	0.765	کینه توز
contemptible	anger	0.764	حقیر
shittest	anger	0.760	مزخرف ترین
rant	anger	0.758	بیهوده گویی
cruel	anger	0.758	ظالمانه
deadly	anger	0.758	مرگبار
smash	anger	0.758	درهم کوبیدن
soangry	anger	0.758	خیلی عصبانی
outburst	anger	0.757	انفجار
snarl	anger	0.754	غرغر کردن
profane	anger	0.750	ناسزا
revolting	anger	0.750	شورش
aggravating	anger	0.750	تشدید کننده
horror	anger	0.750	وحشت
despise	anger	0.750	خوار شمردن
offend	anger	0.750	توهین کردن
stfu	anger	0.750	stfu
vulgarity	anger	0.750	ابتذال
crazed	anger	0.750	دیوانه شده
douchebags	anger	0.750	کیسه های دوشی
growling	anger	0.750	غرغر کردن
dontmesswithme	anger	0.750	با من صحبت نکن
screaming	anger	0.742	جیغ زدن
threat	anger	0.742	تهدید
erupt	anger	0.742	فوران
horrible	anger	0.742	ناگوار
molestation	anger	0.742	آزار و اذیت
fuckedoff	anger	0.742	لعنتی
violence	anger	0.742	خشونت
bastards	anger	0.741	حرامزاده ها
revenge	anger	0.738	انتقام گرفتن
menacing	anger	0.735	تهدید کننده
crushing	anger	0.735	خرد کردن
damn	anger	0.735	لعنتی
catastrophe	anger	0.735	فاجعه
demon	anger	0.735	دیو
argue	anger	0.734	جر و بحث
persecute	anger	0.734	آزار و اذیت
deplore	anger	0.734	ابراز تاسف
flog	anger	0.734	شلاق زدن
fedup	anger	0.734	خسته شده
riotous	anger	0.734	آشوب زده
vehement	anger	0.734	شدید
revolt	anger	0.734	شورش
warfare	anger	0.734	جنگ
thrash	anger	0.734	کوبیدن پی در پی
altercation	anger	0.729	درگیری
warlike	anger	0.728	جنگجو
shitday	anger	0.727	روز گنده
mutiny	anger	0.727	شورش
castrate	anger	0.727	اخته کردن
sabotage	anger	0.727	خرابکاری
malevolent	anger	0.721	بدخواه
strike	anger	0.721	ضربه
disaster	anger	0.721	فاجعه
disastrous	anger	0.720	فاجعه بار
bastarding	anger	0.719	حرامزاده
treachery	anger	0.719	خیانت
arseholes	anger	0.719	حفره ها
horseshit	anger	0.719	اسب اسب
slay	anger	0.719	ذبح کردن
disdain	anger	0.719	تحقیر
aggravates	anger	0.719	تشدید می کند
brutal	anger	0.719	وحشیانه
scorching	anger	0.719	سوزاننده
devil	anger	0.719	شیطان
madden	anger	0.719	دیوانه شده
spiteful	anger	0.719	کینه توز
scream	anger	0.719	فریاد زدن
choke	anger	0.719	خفه کردن
vermin	anger	0.719	حیوانات موذی
tumult	anger	0.719	غوغا
criminal	anger	0.714	جنایی
mangle	anger	0.714	خرد کردن
anarchism	anger	0.714	آنارشیسم
mutilation	anger	0.714	مثله کردن
denunciation	anger	0.713	محکوم کردن
punch	anger	0.713	مشت زدن
virulence	anger	0.712	حدت
fatal	anger	0.712	کشنده
hurting	anger	0.712	صدمه زدن
crucifixion	anger	0.712	مصلوب شدن
dontlikeyou	anger	0.712	دوستت ندارم
blasphemous	anger	0.712	کفرآمیز
holocaust	anger	0.712	هولوکاست
dumbasses	anger	0.712	احمق ها
battled	anger	0.712	جنگید
deranged	anger	0.706	آشفته
irritated	anger	0.706	تحریک شده
atrocious	anger	0.706	بی رحمانه
evil	anger	0.706	بد
aggravated	anger	0.703	تشدید شد
intimidation	anger	0.703	ارعاب
dicks	anger	0.703	دیک ها
assassin	anger	0.703	قاتل
scolding	anger	0.703	سرزنش کردن
persecution	anger	0.703	آزار و اذیت
slayer	anger	0.703	قاتل
kidnap	anger	0.703	ادم دزدی کردن
aggression	anger	0.702	پرخاشگری
armed	anger	0.700	مسلح
battle	anger	0.697	نبرد
poison	anger	0.697	سم
snarling	anger	0.697	خرخر کردن
venom	anger	0.697	زهر
disgruntled	anger	0.693	ناراضی
resentment	anger	0.691	رنجش
assailant	anger	0.691	مهاجم
insidious	anger	0.691	موذی
contemptuous	anger	0.690	تحقیرآمیز
lynch	anger	0.690	لینچ
temper	anger	0.688	خلق و خوی
terrible	anger	0.688	وحشتناک
disparage	anger	0.688	تحقیر کردن
lunatic	anger	0.688	دیوانه
bully	anger	0.688	گردن کلفت
mad	anger	0.688	دیوانه
makesmemad	anger	0.688	makememad
infanticide	anger	0.688	کودک کشی
domination	anger	0.688	سلطه
peeved	anger	0.688	ناراحت شد
imprisonment	anger	0.688	زندان
curse	anger	0.688	لعنت
volatility	anger	0.687	نوسان
eradication	anger	0.685	قلع و قمع
eradicate	anger	0.682	ریشه کن کردن
tantrum	anger	0.682	اوقات تلخی
scoundrel	anger	0.682	رذل
devastate	anger	0.682	ویران کردن
aggressively	anger	0.680	به صورت تهاجمی
agitation	anger	0.680	تحریک
dictatorship	anger	0.676	دیکتاتوری
irritates	anger	0.676	تحریک می کند
profanity	anger	0.673	فحاشی
shove	anger	0.672	تنه زدن
nasty	anger	0.672	زننده
shot	anger	0.672	شلیک کرد
cruelly	anger	0.672	بی رحمانه
shoot	anger	0.672	شلیک
condemnation	anger	0.672	محکومیت
crushed	anger	0.672	خرد شده
aggravation	anger	0.672	تشدید
poisonous	anger	0.672	سمی
egregious	anger	0.672	فاحش
crime	anger	0.672	جرم
corrupting	anger	0.672	فاسد کننده
dastardly	anger	0.672	افتضاح
contempt	anger	0.672	تحقیر
harmful	anger	0.672	زیان آور
expletive	anger	0.672	جنجالی
wreak	anger	0.672	خراب کردن
maniac	anger	0.670	دیوانه
cutthroat	anger	0.667	بریده بریده
enemy	anger	0.667	دشمن
hit	anger	0.667	اصابت
hateeveryone	anger	0.667	از همه نفرت داشتن
eruption	anger	0.667	فوران
irritable	anger	0.667	تحریک پذیر
odious	anger	0.667	نفرت انگیز
shooting	anger	0.667	تیراندازی کردن
shout	anger	0.667	فریاد
aggressive	anger	0.667	خشونت آمیز
kick	anger	0.667	لگد زدن
combat	anger	0.667	مبارزه کن
fight	anger	0.667	مبارزه کردن
punished	anger	0.662	مجازات کرد
yell	anger	0.661	فریاد زدن
ambush	anger	0.661	کمین کردن
harass	anger	0.659	آزار دادن
