English Word	Emotion	Emotion-Intensity-Score	Indonesian Word
outraged	anger	0.964	marah
brutality	anger	0.959	kebrutalan
hatred	anger	0.953	kebencian
hateful	anger	0.940	penuh kebencian
terrorize	anger	0.939	meneror
violently	anger	0.938	dengan kekerasan
infuriated	anger	0.938	geram
furious	anger	0.929	sangat marah
furiously	anger	0.927	dengan marah
enraged	anger	0.927	sangat marah
screwyou	anger	0.924	dasar
murderer	anger	0.922	pembunuh
fury	anger	0.922	kemarahan
execution	anger	0.917	eksekusi
angered	anger	0.916	marah
savagery	anger	0.915	kebiadaban
slaughtering	anger	0.914	menyembelih
veryangry	anger	0.913	sangat marah
assassinate	anger	0.912	membunuh
annihilation	anger	0.912	penghancuran
fuckoff	anger	0.912	sialan
rage	anger	0.911	kemarahan
loathe	anger	0.909	benci
fucktard	anger	0.906	sialan
roadrage	anger	0.906	mengamuk
damnation	anger	0.906	kutukan
homicidal	anger	0.906	pembunuhan
furor	anger	0.900	kehebohan
hostile	anger	0.898	agresif
annihilate	anger	0.898	membinasakan
murder	anger	0.897	pembunuhan
raging	anger	0.896	hebat
sopissed	anger	0.894	mabuk
infuriates	anger	0.894	membuat marah
pissed	anger	0.894	kesal
rape	anger	0.894	memperkosa
ferocious	anger	0.894	ganas
vengeful	anger	0.894	pendendam
obliterated	anger	0.894	dilenyapkan
explosive	anger	0.894	eksplosif
killing	anger	0.893	pembunuhan
combative	anger	0.891	agresif
vengeance	anger	0.886	pembalasan dendam
gofuckyourself	anger	0.886	bermain-main dengan dirimu sendiri
torment	anger	0.885	menyiksa
wrath	anger	0.885	kemarahan
vicious	anger	0.884	jahat
massacre	anger	0.882	pembantaian
threatening	anger	0.882	mengancam
abhorrent	anger	0.875	mengerikan
bloodthirsty	anger	0.875	haus darah
pissoff	anger	0.875	kesal
fighting	anger	0.868	berkelahi
attacking	anger	0.865	menyerang
annihilated	anger	0.865	musnah
angriest	anger	0.864	paling marah
bloodshed	anger	0.864	pertumpahan darah
smite	anger	0.862	memukul
brawl	anger	0.861	ribut
malicious	anger	0.859	jahat
assassination	anger	0.859	pembunuhan
strangle	anger	0.859	mencekik
hostility	anger	0.859	permusuhan
assault	anger	0.859	serangan
explode	anger	0.859	meledak
tirade	anger	0.859	omelan
loathsome	anger	0.857	menjijikkan
hell	anger	0.853	neraka
murderous	anger	0.853	kejam
attack	anger	0.853	menyerang
malice	anger	0.852	kebencian
terrorism	anger	0.851	terorisme
beating	anger	0.849	mengalahkan
outrage	anger	0.848	kebiadaban
