English Word	Emotion	Emotion-Intensity-Score	Turkish Word
outraged	anger	0.964	öfkeli
brutality	anger	0.959	vahşet
hatred	anger	0.953	nefret
hateful	anger	0.940	nefret dolu
terrorize	anger	0.939	terörize etmek
violently	anger	0.938	şiddetle
infuriated	anger	0.938	çıldırmış
furious	anger	0.929	çok öfkeli
furiously	anger	0.927	öfkeyle
enraged	anger	0.927	öfkeli
screwyou	anger	0.924	kahretsin
murderer	anger	0.922	katil
fury	anger	0.922	öfke
execution	anger	0.917	uygulamak
angered	anger	0.916	öfkeli
savagery	anger	0.915	vahşet
slaughtering	anger	0.914	kesim
veryangry	anger	0.913	çok kızgın
assassinate	anger	0.912	suikâst düzenlemek
annihilation	anger	0.912	yok etme
fuckoff	anger	0.912	sikişmek
rage	anger	0.911	öfkelenmek
loathe	anger	0.909	tiksinmek
fucktard	anger	0.906	sikik
roadrage	anger	0.906	karayolu
damnation	anger	0.906	lanet
homicidal	anger	0.906	öldürücü
furor	anger	0.900	öfke
hostile	anger	0.898	hasım
annihilate	anger	0.898	yok etmek
murder	anger	0.897	cinayet
raging	anger	0.896	öfkeli
sopissed	anger	0.894	sarhoş
infuriates	anger	0.894	çıldırtır
pissed	anger	0.894	sinirli
rape	anger	0.894	tecavüz
ferocious	anger	0.894	vahşi
vengeful	anger	0.894	intikamcı
obliterated	anger	0.894	yok edilmiş
explosive	anger	0.894	patlayıcı
killing	anger	0.893	öldürme
combative	anger	0.891	mücadeleci
vengeance	anger	0.886	intikam
gofuckyourself	anger	0.886	kendini siktir et
torment	anger	0.885	azap
wrath	anger	0.885	gazap
vicious	anger	0.884	kısır
massacre	anger	0.882	katliam
threatening	anger	0.882	tehditkar
abhorrent	anger	0.875	iğrenç
bloodthirsty	anger	0.875	kana susamış
pissoff	anger	0.875	kızdırmak
fighting	anger	0.868	savaş
attacking	anger	0.865	saldıran
annihilated	anger	0.865	yok edilmiş
angriest	anger	0.864	en kızgın
bloodshed	anger	0.864	kan dökmek
smite	anger	0.862	vur
brawl	anger	0.861	dövüş
malicious	anger	0.859	kötü niyetli
assassination	anger	0.859	suikast
strangle	anger	0.859	boğmak
hostility	anger	0.859	düşmanlık
assault	anger	0.859	saldırı
explode	anger	0.859	patlamak
tirade	anger	0.859	tirad
