English Word	Emotion	Emotion-Intensity-Score	Nepali Word
outraged	anger	0.964	आक्रोशित
brutality	anger	0.959	क्रूरता
hatred	anger	0.953	घृणा
hateful	anger	0.940	घृणित
terrorize	anger	0.939	आतंकित गर्ने
violently	anger	0.938	हिंसात्मक रूपमा
infuriated	anger	0.938	आक्रोशित
furious	anger	0.929	क्रोधित
furiously	anger	0.927	क्रोधित रूपमा
enraged	anger	0.927	क्रोधित
screwyou	anger	0.924	तपाईं स्क्रू
murderer	anger	0.922	हत्यारा
fury	anger	0.922	क्रोध
execution	anger	0.917	कार्यान्वयन
angered	anger	0.916	क्रोधित
savagery	anger	0.915	बर्बरता
slaughtering	anger	0.914	वध
veryangry	anger	0.913	धेरै रिसाएको
assassinate	anger	0.912	हत्या गर्ने
annihilation	anger	0.912	विनाश
fuckoff	anger	0.912	बकवास
rage	anger	0.911	क्रोध
loathe	anger	0.909	घृणा
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	रोडरेज
damnation	anger	0.906	धिक्कार
homicidal	anger	0.906	हत्यारा
furor	anger	0.900	क्रोध
hostile	anger	0.898	शत्रुतापूर्ण
annihilate	anger	0.898	विनाश गर्नु
murder	anger	0.897	हत्या
raging	anger	0.896	क्रोधित
sopissed	anger	0.894	बिग्रिएको
infuriates	anger	0.894	रिसाउँछ
pissed	anger	0.894	रिसाएको
rape	anger	0.894	बलात्कार
ferocious	anger	0.894	क्रूर
vengeful	anger	0.894	बदला लिने
obliterated	anger	0.894	मेटिएको
explosive	anger	0.894	विस्फोटक
killing	anger	0.893	हत्या
combative	anger	0.891	लडाकु
vengeance	anger	0.886	बदला
gofuckyourself	anger	0.886	आफैलाई गफ
torment	anger	0.885	यातना
wrath	anger	0.885	क्रोध
vicious	anger	0.884	दुष्ट
massacre	anger	0.882	नरसंहार
threatening	anger	0.882	धम्कयाउने
abhorrent	anger	0.875	घृणित
bloodthirsty	anger	0.875	रक्तप्यासी
pissoff	anger	0.875	पारो तात्नु
fighting	anger	0.868	लडाई
attacking	anger	0.865	आक्रमण गर्दै
annihilated	anger	0.865	विनाश गरियो
angriest	anger	0.864	क्रोधित
bloodshed	anger	0.864	रक्तपात
smite	anger	0.862	प्रहार
brawl	anger	0.861	झगडा
malicious	anger	0.859	दुर्भावनापूर्ण
assassination	anger	0.859	हत्या
strangle	anger	0.859	गला
hostility	anger	0.859	दुश्मनी
assault	anger	0.859	आक्रमण
explode	anger	0.859	विस्फोट
tirade	anger	0.859	tirade
loathsome	anger	0.857	घृणित
hell	anger	0.853	नरक
murderous	anger	0.853	हत्यारा
attack	anger	0.853	आक्रमण
malice	anger	0.852	द्वेष
terrorism	anger	0.851	आतंकवाद
beating	anger	0.849	पिटाई
outrage	anger	0.848	आक्रोश
desecration	anger	0.848	अपवित्रता
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	नष्ट गर्दै
slaughter	anger	0.844	वध
irate	anger	0.844	क्रोधित
violent	anger	0.844	हिंसात्मक
stab	anger	0.844	छुरा
abomination	anger	0.844	घृणित कुरा
tumultuous	anger	0.844	अशान्त
infuriate	anger	0.844	रिसाउनु
obliterate	anger	0.843	मेटाउने
belligerent	anger	0.841	लडाकु
dumbbitch	anger	0.841	डम्बबिच
detest	anger	0.838	घृणा
hostilities	anger	0.837	शत्रुताहरू
prick	anger	0.835	चुम्बन
rampage	anger	0.833	हडताल
horrid	anger	0.833	भयानक
cruelty	anger	0.833	क्रूरता
torture	anger	0.833	यातना
rabid	anger	0.833	पागल
despicable	anger	0.828	घृणित
tyrannical	anger	0.828	अत्याचारी
demonic	anger	0.828	राक्षसी
satanic	anger	0.828	शैतानी
hate	anger	0.828	घृणा
ragemode	anger	0.828	ragemode
hating	anger	0.828	घृणा
ruinous	anger	0.825	विनाशकारी
condemn	anger	0.825	निन्दा
riots	anger	0.824	दंगा
demolish	anger	0.824	ध्वस्त पार्नु
angry	anger	0.824	क्रोधित
extermination	anger	0.824	विनाश
dickhead	anger	0.824	डिकहेड
livid	anger	0.821	जीन्दगी
madman	anger	0.820	पागल
vindictive	anger	0.819	प्रतिशोधात्मक
terrorist	anger	0.818	आतंकवादी
threaten	anger	0.818	धम्की दिने
venomous	anger	0.818	विषालु
hateyou	anger	0.818	तिमीलाई घृणा
ferocity	anger	0.818	उग्रता
effyou	anger	0.818	effyou
abhor	anger	0.816	घृणा
carnage	anger	0.814	नरसंहार
savage	anger	0.814	बर्बर
atrocity	anger	0.814	अत्याचार
fucksake	anger	0.812	बकवास
abuse	anger	0.812	दुरुपयोग
fierce	anger	0.812	उग्र
destroyer	anger	0.812	विनाशक
angrytweet	anger	0.812	क्रोधित ट्वीट
barbaric	anger	0.812	बर्बर
vendetta	anger	0.812	प्रतिशोध
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	रिसाएको
tyrant	anger	0.812	तानाशाह
berserk	anger	0.812	निडर
fuming	anger	0.812	धुवाँ
anger	anger	0.811	क्रोध
pieceofshit	anger	0.810	टुक्रा टुक्रा
punched	anger	0.803	मुक्का मारेको
punching	anger	0.803	मुक्का मार्दै
slam	anger	0.803	स्ल्याम
homicide	anger	0.803	हत्या
bitch	anger	0.803	कुतिया
fights	anger	0.803	झगडा
ruthless	anger	0.797	निर्दयी
villainous	anger	0.797	खलनायक
destructive	anger	0.797	विनाशकारी
slap	anger	0.791	थप्पड
riot	anger	0.788	दंगा
growthefuckup	anger	0.788	ग्रोथ फकअप
punishing	anger	0.788	दण्डित गर्दै
slaughterhouse	anger	0.788	वधशाला
yelling	anger	0.788	चिच्याउदै
diabolical	anger	0.788	शैतानी
destroyed	anger	0.788	नष्ट भयो
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	प्रतिशोधात्मक
manslaughter	anger	0.783	हत्या
clash	anger	0.783	झडप
quarrel	anger	0.781	झगडा
bloody	anger	0.781	रक्तपात
hellish	anger	0.781	नरकको
sinister	anger	0.781	अशुभ
loath	anger	0.781	घृणा
detonation	anger	0.781	विस्फोट
accusing	anger	0.779	आरोप लगाउँदै
fumin	anger	0.779	fumin
hateeee	anger	0.779	hateeee
treacherous	anger	0.779	विश्वासघाती
madder	anger	0.773	पागल
horrific	anger	0.773	भयानक
revulsion	anger	0.773	विद्रोह
retaliate	anger	0.773	बदला लिनुहोस्
scorn	anger	0.769	घृणा
bomb	anger	0.766	बम
deplorable	anger	0.766	निन्दनीय
devastation	anger	0.765	विनाश
anarchist	anger	0.765	अराजकतावादी
firestorm	anger	0.765	आगोको आँधी
resent	anger	0.765	रिसाउनु
contemptible	anger	0.764	अपमानजनक
shittest	anger	0.760	बकवास
rant	anger	0.758	गाली
cruel	anger	0.758	क्रूर
deadly	anger	0.758	घातक
smash	anger	0.758	प्रहार
soangry	anger	0.758	नरम
outburst	anger	0.757	विस्फोट
snarl	anger	0.754	snarl
profane	anger	0.750	अपवित्र
revolting	anger	0.750	विद्रोह गर्दै
aggravating	anger	0.750	उत्तेजक
horror	anger	0.750	त्रास
despise	anger	0.750	घृणा
offend	anger	0.750	अपमान
stfu	anger	0.750	stfu
vulgarity	anger	0.750	अश्लीलता
crazed	anger	0.750	पागल
douchebags	anger	0.750	डचब्यागहरू
growling	anger	0.750	गुर्राइरहेको
dontmesswithme	anger	0.750	मलाई साथ नदिनुहोस्
screaming	anger	0.742	चिच्याउदै
threat	anger	0.742	खतरा
erupt	anger	0.742	विस्फोट
horrible	anger	0.742	भयानक
molestation	anger	0.742	दुर्व्यवहार
fuckedoff	anger	0.742	fuckedoff
violence	anger	0.742	हिंसा
bastards	anger	0.741	हरामीहरू
revenge	anger	0.738	बदला
menacing	anger	0.735	धम्की दिने
crushing	anger	0.735	क्रस गर्दै
damn	anger	0.735	लानत
catastrophe	anger	0.735	प्रकोप
demon	anger	0.735	राक्षस
argue	anger	0.734	तर्क
persecute	anger	0.734	सताउने
deplore	anger	0.734	निन्दा गर्नु
flog	anger	0.734	कोर्रा
fedup	anger	0.734	दिक्क
