English Word	Emotion	Emotion-Intensity-Score	Malayalam Word
outraged	anger	0.964	പ്രകോപിതനായി
brutality	anger	0.959	ക്രൂരത
hatred	anger	0.953	പക
hateful	anger	0.940	വെറുപ്പുളവാക്കുന്ന
terrorize	anger	0.939	ഭയപ്പെടുത്തുക
violently	anger	0.938	അക്രമാസക്തമായി
infuriated	anger	0.938	പ്രകോപിതനായി
furious	anger	0.929	ഉഗ്രകോപം
furiously	anger	0.927	ക്രോധത്തോടെ
enraged	anger	0.927	രോഷാകുലനായി
screwyou	anger	0.924	നിങ്ങളെ പീഡിപ്പിക്കുന്നു
murderer	anger	0.922	കൊലപാതകി
fury	anger	0.922	ക്രോധം
execution	anger	0.917	വധശിക്ഷ
angered	anger	0.916	ദേഷ്യപ്പെട്ടു
savagery	anger	0.915	വന്യത
slaughtering	anger	0.914	അറുക്കുന്നു
veryangry	anger	0.913	വളരെ ദേഷ്യം
assassinate	anger	0.912	വധിക്കുക
annihilation	anger	0.912	ഉന്മൂലനം
fuckoff	anger	0.912	ഫക്കോഫ്
rage	anger	0.911	ക്രോധം
loathe	anger	0.909	വെറുപ്പ്
fucktard	anger	0.906	ഫക്ക്റ്റാർഡ്
roadrage	anger	0.906	റോഡരേജ്
damnation	anger	0.906	ശാപം
homicidal	anger	0.906	നരഹത്യ
furor	anger	0.900	കോപം
hostile	anger	0.898	ശത്രുതയുള്ള
annihilate	anger	0.898	ഉന്മൂലനം ചെയ്യുക
murder	anger	0.897	കൊലപാതകം
raging	anger	0.896	റാഗിംഗ്
sopissed	anger	0.894	sopissed
infuriates	anger	0.894	പ്രകോപിപ്പിക്കുന്നു
pissed	anger	0.894	ദേഷ്യപ്പെട്ടു
rape	anger	0.894	ബലാത്സംഗം
ferocious	anger	0.894	ഉഗ്രൻ
vengeful	anger	0.894	പ്രതികാരബുദ്ധിയുള്ള
obliterated	anger	0.894	ഇല്ലാതാക്കി
explosive	anger	0.894	സ്ഫോടനാത്മകമായ
killing	anger	0.893	കൊല്ലുന്നു
combative	anger	0.891	പൊരുതുന്ന
vengeance	anger	0.886	പ്രതികാരം
gofuckyourself	anger	0.886	സ്വയം ഭയപ്പെടുത്തുക
torment	anger	0.885	പീഡനം
wrath	anger	0.885	കോപം
