English Word	Emotion	Emotion-Intensity-Score	Armenian Word
outraged	anger	0.964	վրդովված
brutality	anger	0.959	դաժանություն
hatred	anger	0.953	ատելություն
hateful	anger	0.940	ատելի
terrorize	anger	0.939	ահաբեկել
violently	anger	0.938	բռնությամբ
infuriated	anger	0.938	վրդովված
furious	anger	0.929	կատաղած
furiously	anger	0.927	կատաղած
enraged	anger	0.927	կատաղած
screwyou	anger	0.924	պտտվել ես
murderer	anger	0.922	մարդասպան
fury	anger	0.922	կատաղություն
execution	anger	0.917	կատարումը
angered	anger	0.916	զայրացած
savagery	anger	0.915	վայրենություն
slaughtering	anger	0.914	մորթում
veryangry	anger	0.913	շատ զայրացած
assassinate	anger	0.912	սպանել
annihilation	anger	0.912	բնաջնջում
fuckoff	anger	0.912	ծաղրել
rage	anger	0.911	կատաղություն
loathe	anger	0.909	զզվել
fucktard	anger	0.906	ֆակտարդ
roadrage	anger	0.906	ճանապարհային զայրույթ
damnation	anger	0.906	անեծք
homicidal	anger	0.906	մարդասպան
furor	anger	0.900	կատաղություն
hostile	anger	0.898	թշնամական
annihilate	anger	0.898	ոչնչացնել
murder	anger	0.897	սպանություն
raging	anger	0.896	մոլեգնող
sopissed	anger	0.894	շփոթված
infuriates	anger	0.894	վրդովեցնում է
pissed	anger	0.894	կատաղած
rape	anger	0.894	բռնաբարություն
ferocious	anger	0.894	վայրագ
vengeful	anger	0.894	վրիժառու
obliterated	anger	0.894	ջնջված
explosive	anger	0.894	պայթուցիկ
killing	anger	0.893	սպանություն
combative	anger	0.891	մարտական
vengeance	anger	0.886	վրեժխնդրություն
gofuckyourself	anger	0.886	խաբել ինքդ քեզ
torment	anger	0.885	տանջանք
wrath	anger	0.885	զայրույթ
vicious	anger	0.884	արատավոր
massacre	anger	0.882	ջարդ
threatening	anger	0.882	սպառնալից
abhorrent	anger	0.875	զզվելի
bloodthirsty	anger	0.875	արյունարբու
pissoff	anger	0.875	փիսոֆ
fighting	anger	0.868	մարտնչող
attacking	anger	0.865	հարձակվելով
annihilated	anger	0.865	ոչնչացված
angriest	anger	0.864	ամենից զայրացած
bloodshed	anger	0.864	արյունահեղություն
smite	anger	0.862	հարվածել
brawl	anger	0.861	ծեծկռտուք
malicious	anger	0.859	չարամիտ
assassination	anger	0.859	սպանություն
strangle	anger	0.859	խեղդել
hostility	anger	0.859	թշնամություն
assault	anger	0.859	հարձակում
explode	anger	0.859	պայթել
tirade	anger	0.859	տիրադ
loathsome	anger	0.857	զզվելի
hell	anger	0.853	դժոխք
murderous	anger	0.853	մարդասպան
attack	anger	0.853	հարձակում
malice	anger	0.852	չարամտություն
terrorism	anger	0.851	ահաբեկչություն
beating	anger	0.849	ծեծել
outrage	anger	0.848	վրդովմունք
desecration	anger	0.848	պղծում
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ոչնչացնելով
slaughter	anger	0.844	սպանդ
irate	anger	0.844	բարկացած
violent	anger	0.844	բռնի
stab	anger	0.844	դանակահարել
abomination	anger	0.844	զզվելիություն
tumultuous	anger	0.844	բուռն
infuriate	anger	0.844	զայրացնել
obliterate	anger	0.843	ջնջել
belligerent	anger	0.841	ռազմատենչ
dumbbitch	anger	0.841	հիմար
detest	anger	0.838	ատել
hostilities	anger	0.837	ռազմական գործողությունները
prick	anger	0.835	ծակել
rampage	anger	0.833	կատաղություն
horrid	anger	0.833	սարսափելի
cruelty	anger	0.833	դաժանություն
torture	anger	0.833	խոշտանգում
rabid	anger	0.833	կատաղած
despicable	anger	0.828	արհամարհելի
tyrannical	anger	0.828	բռնակալ
demonic	anger	0.828	դիվային
satanic	anger	0.828	սատանայական
hate	anger	0.828	ատելություն
ragemode	anger	0.828	ragemode
hating	anger	0.828	ատելություն
ruinous	anger	0.825	կործանարար
condemn	anger	0.825	դատապարտել
riots	anger	0.824	անկարգություններ
demolish	anger	0.824	քանդել
angry	anger	0.824	զայրացած
