English Word	Emotion	Emotion-Intensity-Score	Arabic Word
outraged	anger	0.964	غاضب
brutality	anger	0.959	وحشية
hatred	anger	0.953	كراهية
hateful	anger	0.940	مكروه
terrorize	anger	0.939	أرعب
violently	anger	0.938	بعنف
infuriated	anger	0.938	غاضب
furious	anger	0.929	غاضب
furiously	anger	0.927	بشراسة
enraged	anger	0.927	غاضب
screwyou	anger	0.924	تبا لك
murderer	anger	0.922	قاتل
fury	anger	0.922	غضب شديد
execution	anger	0.917	إعدام
angered	anger	0.916	غاضب
savagery	anger	0.915	الوحشية
slaughtering	anger	0.914	الذبح
veryangry	anger	0.913	غاضب جدا
assassinate	anger	0.912	اغتال
annihilation	anger	0.912	إبادة
fuckoff	anger	0.912	اللعنة
rage	anger	0.911	غضب
loathe	anger	0.909	يكره
fucktard	anger	0.906	اللعنة
roadrage	anger	0.906	غضب الطريق
damnation	anger	0.906	اللعنة
homicidal	anger	0.906	القتل
furor	anger	0.900	ضجة
hostile	anger	0.898	عدائي
annihilate	anger	0.898	إبادة
murder	anger	0.897	قتل
raging	anger	0.896	تحتدم
sopissed	anger	0.894	غاضب جدا
infuriates	anger	0.894	يغضب
pissed	anger	0.894	سكران
rape	anger	0.894	اغتصاب
ferocious	anger	0.894	شرس
vengeful	anger	0.894	انتقامي
obliterated	anger	0.894	طمس
explosive	anger	0.894	مادة متفجرة
killing	anger	0.893	قتل
combative	anger	0.891	قتالي
vengeance	anger	0.886	الانتقام
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	عذاب
wrath	anger	0.885	غيظ
vicious	anger	0.884	وحشي
massacre	anger	0.882	مذبحة
threatening	anger	0.882	تهديد
abhorrent	anger	0.875	مقيت
bloodthirsty	anger	0.875	متعطش للدماء
pissoff	anger	0.875	اغرب عن وجهي
fighting	anger	0.868	قتال
attacking	anger	0.865	مهاجمة
annihilated	anger	0.865	أباد
angriest	anger	0.864	غاضب
bloodshed	anger	0.864	إراقة الدماء
smite	anger	0.862	اضرب
brawl	anger	0.861	شجار
malicious	anger	0.859	ضار
assassination	anger	0.859	اغتيال
strangle	anger	0.859	خنق
hostility	anger	0.859	العداء
assault	anger	0.859	الاعتداءات
explode	anger	0.859	ينفجر
tirade	anger	0.859	خطبة
loathsome	anger	0.857	بغيض
hell	anger	0.853	الجحيم
murderous	anger	0.853	قاتلة
attack	anger	0.853	هجوم
malice	anger	0.852	حقد
terrorism	anger	0.851	الإرهاب
beating	anger	0.849	الضرب
outrage	anger	0.848	الغضب
desecration	anger	0.848	تدنيس
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	تدمير
slaughter	anger	0.844	ذبح
irate	anger	0.844	غاضب
violent	anger	0.844	عنيف
stab	anger	0.844	طعنة
abomination	anger	0.844	رجس - مقت شديد، عمل بغيض
tumultuous	anger	0.844	صاخب
infuriate	anger	0.844	يثير حنقه
obliterate	anger	0.843	طمس
belligerent	anger	0.841	محارب
dumbbitch	anger	0.841	دمبل
detest	anger	0.838	يكرهون
hostilities	anger	0.837	العداوات
prick	anger	0.835	وخز
rampage	anger	0.833	هياج
horrid	anger	0.833	بشع
cruelty	anger	0.833	القسوة
torture	anger	0.833	تعذيب
rabid	anger	0.833	مصاب بداء الكلب
despicable	anger	0.828	حقير، خسيس
tyrannical	anger	0.828	طاغية
demonic	anger	0.828	شيطاني
satanic	anger	0.828	شيطاني
hate	anger	0.828	يكره
ragemode	anger	0.828	ragemode
hating	anger	0.828	كره
ruinous	anger	0.825	مدمر
condemn	anger	0.825	ادانة
riots	anger	0.824	أعمال الشغب
demolish	anger	0.824	هدم
angry	anger	0.824	غاضب
extermination	anger	0.824	إبادة
dickhead	anger	0.824	أحمق
livid	anger	0.821	غاضب
madman	anger	0.820	مجنون
vindictive	anger	0.819	انتقامي
terrorist	anger	0.818	إرهابي
threaten	anger	0.818	هدد
venomous	anger	0.818	سام
hateyou	anger	0.818	أكرهك
ferocity	anger	0.818	شراسة
effyou	anger	0.818	إفيك
abhor	anger	0.816	يبغض
carnage	anger	0.814	مذبحة
savage	anger	0.814	متوحش
atrocity	anger	0.814	فظاعة
fucksake	anger	0.812	fucksake
abuse	anger	0.812	تعاطي
fierce	anger	0.812	شرس
destroyer	anger	0.812	مدمر
angrytweet	anger	0.812	غاضب
barbaric	anger	0.812	بربري
vendetta	anger	0.812	ثأر
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	متبول
tyrant	anger	0.812	طاغية
berserk	anger	0.812	هائج
fuming	anger	0.812	دخن
anger	anger	0.811	الغضب
pieceofshit	anger	0.810	قطعة صغيرة
punched	anger	0.803	لكمات
punching	anger	0.803	اللكم
slam	anger	0.803	ضربة عنيفة
homicide	anger	0.803	القتل
bitch	anger	0.803	عاهرة
fights	anger	0.803	تحارب
ruthless	anger	0.797	قاس
villainous	anger	0.797	خسيس
destructive	anger	0.797	مدمرة
slap	anger	0.791	يصفع
riot	anger	0.788	شغب
growthefuckup	anger	0.788	ينمو
punishing	anger	0.788	معاقبة
slaughterhouse	anger	0.788	مسلخ
yelling	anger	0.788	الصراخ
diabolical	anger	0.788	شيطاني
destroyed	anger	0.788	دمرت
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	انتقامي
manslaughter	anger	0.783	القتل غير العمد
clash	anger	0.783	اشتباك
quarrel	anger	0.781	قتال
bloody	anger	0.781	دموي
hellish	anger	0.781	جهنمي
sinister	anger	0.781	شرير
loath	anger	0.781	متردد
detonation	anger	0.781	تفجير
accusing	anger	0.779	يتهم
fumin	anger	0.779	fumin
hateeee	anger	0.779	يكره
treacherous	anger	0.779	غادر
madder	anger	0.773	الفوة
horrific	anger	0.773	مروع
revulsion	anger	0.773	اشمئزاز
retaliate	anger	0.773	الرد بالمثل
scorn	anger	0.769	سخرية
bomb	anger	0.766	قنبلة
deplorable	anger	0.766	مؤسف
devastation	anger	0.765	دمار
anarchist	anger	0.765	فوضوي
firestorm	anger	0.765	عاصفة نارية
resent	anger	0.765	استياء
contemptible	anger	0.764	حقير
shittest	anger	0.760	أقذر
rant	anger	0.758	تبجح
cruel	anger	0.758	قاسية
deadly	anger	0.758	مميت
smash	anger	0.758	تحطيم
soangry	anger	0.758	غاضب للغاية
outburst	anger	0.757	فورة
snarl	anger	0.754	تشابك
profane	anger	0.750	دنس
revolting	anger	0.750	اشمئزاز
aggravating	anger	0.750	المشددة
horror	anger	0.750	رعب
despise	anger	0.750	يحتقر
offend	anger	0.750	الإساءة
stfu	anger	0.750	stfu
vulgarity	anger	0.750	الابتذال
crazed	anger	0.750	مخبول
douchebags	anger	0.750	أكياس دوش
growling	anger	0.750	الهدر
dontmesswithme	anger	0.750	لا تفارقني
screaming	anger	0.742	صراخ
threat	anger	0.742	التهديد
erupt	anger	0.742	تندلع
horrible	anger	0.742	رهيب
molestation	anger	0.742	التحرش
fuckedoff	anger	0.742	مارس الجنس
violence	anger	0.742	هنف
bastards	anger	0.741	الأوغاد
revenge	anger	0.738	انتقام
menacing	anger	0.735	تهديد
crushing	anger	0.735	سحق
damn	anger	0.735	اللعنة
catastrophe	anger	0.735	نكبة
demon	anger	0.735	شيطان
argue	anger	0.734	تجادل
persecute	anger	0.734	اضطهد
deplore	anger	0.734	يأسف
flog	anger	0.734	جلد
fedup	anger	0.734	طفح الكيل
riotous	anger	0.734	مشاغب
vehement	anger	0.734	عنيف
revolt	anger	0.734	تمرد
warfare	anger	0.734	حرب
thrash	anger	0.734	ضرب
altercation	anger	0.729	مشادة
warlike	anger	0.728	محارب
shitday	anger	0.727	القرف
mutiny	anger	0.727	تمرد
castrate	anger	0.727	خصي
sabotage	anger	0.727	تخريب
malevolent	anger	0.721	حاقد
strike	anger	0.721	يضرب
disaster	anger	0.721	كارثة
disastrous	anger	0.720	كارثي
bastarding	anger	0.719	مقيت
treachery	anger	0.719	خيانة
arseholes	anger	0.719	arseholes
horseshit	anger	0.719	حصان
slay	anger	0.719	ذبح
disdain	anger	0.719	ازدراء
aggravates	anger	0.719	تفاقم
brutal	anger	0.719	قاسِي
scorching	anger	0.719	حارق
devil	anger	0.719	شيطان
madden	anger	0.719	مادن
spiteful	anger	0.719	حاقد
scream	anger	0.719	تصرخ
choke	anger	0.719	خنق
vermin	anger	0.719	الهوام
tumult	anger	0.719	فتنة
criminal	anger	0.714	مجرم
mangle	anger	0.714	فسد
anarchism	anger	0.714	الأناركية
mutilation	anger	0.714	تشويه
denunciation	anger	0.713	استنكار
punch	anger	0.713	لكمة
virulence	anger	0.712	خبث
fatal	anger	0.712	مميت
hurting	anger	0.712	مؤلم
crucifixion	anger	0.712	صلب
dontlikeyou	anger	0.712	dontlikeyou
blasphemous	anger	0.712	كفر
holocaust	anger	0.712	محرقة
dumbasses	anger	0.712	أغبياء
battled	anger	0.712	قاتل
deranged	anger	0.706	مختل
irritated	anger	0.706	منزعج
atrocious	anger	0.706	فظيع
evil	anger	0.706	شر
aggravated	anger	0.703	تفاقم
intimidation	anger	0.703	التخويف
dicks	anger	0.703	ديكس
assassin	anger	0.703	قاتل
scolding	anger	0.703	توبيخ
persecution	anger	0.703	اضطهاد
slayer	anger	0.703	القاتل
kidnap	anger	0.703	خطف
aggression	anger	0.702	عدوان
armed	anger	0.700	مسلح
battle	anger	0.697	معركة
poison	anger	0.697	سم
snarling	anger	0.697	زمجرة
venom	anger	0.697	السم
disgruntled	anger	0.693	ساخط
resentment	anger	0.691	استياء
assailant	anger	0.691	مهاجم
insidious	anger	0.691	أخبث
contemptuous	anger	0.690	ازدراء
lynch	anger	0.690	شنق
temper	anger	0.688	حِدّة
terrible	anger	0.688	كريه
disparage	anger	0.688	الاستخفاف
lunatic	anger	0.688	مجنون
bully	anger	0.688	متنمر
mad	anger	0.688	مجنون
makesmemad	anger	0.688	يصبنى بالجنون
infanticide	anger	0.688	وأد الأطفال
domination	anger	0.688	هيمنة
peeved	anger	0.688	منزعج
imprisonment	anger	0.688	السجن
curse	anger	0.688	لعنة
volatility	anger	0.687	التقلب
eradication	anger	0.685	استئصال
eradicate	anger	0.682	القضاء
tantrum	anger	0.682	نوبة غضب
scoundrel	anger	0.682	الوغد
devastate	anger	0.682	يدمر
aggressively	anger	0.680	بقوة
agitation	anger	0.680	الإثارة
dictatorship	anger	0.676	دكتاتورية
irritates	anger	0.676	يزعج
profanity	anger	0.673	شتم
shove	anger	0.672	يشق
nasty	anger	0.672	مقرف
shot	anger	0.672	طلقة
