Text,Subjectivity,Sentiment Polarity,Emotion,Sarcasm,Irony,Negation,Raw_Text,tokens,padded,masks,exclamation_count,question_count,ellipsis_count,comma_count,period_count,exclamation_score,question_score,ellipsis_score,comma_score,period_score,anger_count,anticipation_count,disgust_count,fear_count,joy_count,sadness_count,surprise_count,trust_count,pos_count,neg_count,afinn_score,obj_score,anger_score,anticipation_score,disgust_score,fear_score,joy_score,sadness_score,surprise_score,trust_score,pos_score,neg_score,vader_neg,vader_neu,vader_pos,vader_compound,anger_tec,anticipation_tec,disgust_tec,fear_tec,joy_tec,sadness_tec,surprise_tec,trust_tec,anger_tei,anticipation_tei,disgust_tei,fear_tei,joy_tei,sadness_tei,surprise_tei,trust_tei,anger_mei,anticipation_mei,disgust_mei,fear_mei,joy_mei,sadness_mei,surprise_mei,trust_mei,anger_gec_0.25,anticipation_gec_0.25,disgust_gec_0.25,fear_gec_0.25,joy_gec_0.25,sadness_gec_0.25,surprise_gec_0.25,trust_gec_0.25,anger_gec_0.5,anticipation_gec_0.5,disgust_gec_0.5,fear_gec_0.5,joy_gec_0.5,sadness_gec_0.5,surprise_gec_0.5,trust_gec_0.5,anger_gec_0.75,anticipation_gec_0.75,disgust_gec_0.75,fear_gec_0.75,joy_gec_0.75,sadness_gec_0.75,surprise_gec_0.75,trust_gec_0.75,anger_gei_0.25,anticipation_gei_0.25,disgust_gei_0.25,fear_gei_0.25,joy_gei_0.25,sadness_gei_0.25,surprise_gei_0.25,trust_gei_0.25,anger_gei_0.5,anticipation_gei_0.5,disgust_gei_0.5,fear_gei_0.5,joy_gei_0.5,sadness_gei_0.5,surprise_gei_0.5,trust_gei_0.5,anger_gei_0.75,anticipation_gei_0.75,disgust_gei_0.75,fear_gei_0.75,joy_gei_0.75,sadness_gei_0.75,surprise_gei_0.75,trust_gei_0.75,polarity_score,subjectivity_score,sarcasm_score,irony_score,target
great budget even cigarette touched great work dr muscat team prof edward scicluna minister expert account,1,positive,trust,0,0,1,Great BUDGET . Even cigarettes were not touched . Great work by Dr. Muscat and his Team . Profs. Edward Scicluna / Minister is an expert on Accounts .,"['great', 'budget', 'even', 'cigarette', 'touched', 'great', 'work', 'dr', 'mu', '##sca', '##t', 'team', 'prof', 'edward', 'sci', '##cl', '##una', 'minister', 'expert', 'account']","[101, 2307, 5166, 2130, 9907, 5028, 2307, 2147, 2852, 14163, 15782, 2102, 2136, 11268, 3487, 16596, 20464, 9521, 2704, 6739, 4070, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.25,0,0,0,0,0,0,0,4,1,2,6.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.1,0.0,0.728,0.272,0.8481,0,0,0,0,0,0,0,7,0.0,2.9265,0.0,0.0,0.0,0.0,0.0,5.731,0.0,0.7785,0.0,0.0,0.0,0.0,0.0,1.0,0,4,0,0,0,0,0,7,0,4,0,0,0,0,0,7,0,1,0,0,0,0,0,4,0.0,2.9265,0.0,0.0,0.0,0.0,0.0,5.731,0.0,2.9265,0.0,0.0,0.0,0.0,0.0,5.731,0.0,0.7785,0.0,0.0,0.0,0.0,0.0,3.6115,0.3540313944220543,0.995484232690809,0.495516,0.17769347,0
exactly scanned budget throughout earth make imposing higher price something toxic cigarette positive anything suggested program help people quit smoking,1,negative,disgust,0,0,1,"I haven't exactly scanned the budget throughout, but how on Earth do you make out that not imposing higher prices on something as toxic as cigarettes is a positive?! If anything he should have suggested a program to help people quit smoking!","['exactly', 'scanned', 'budget', 'throughout', 'earth', 'make', 'imposing', 'higher', 'price', 'something', 'toxic', 'cigarette', 'positive', 'anything', 'suggested', 'program', 'help', 'people', 'quit', 'smoking']","[101, 3599, 11728, 5166, 2802, 3011, 2191, 16625, 3020, 3976, 2242, 11704, 9907, 3893, 2505, 4081, 2565, 2393, 2111, 8046, 9422, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,1.0,0.0,1.0,0.0,0.1,0.05,0.0,0.05,0.0,0,0,1,0,0,0,0,1,0,3,0.0,0.78125,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.869,0.131,0.6786,0,1,1,1,0,0,0,4,0.0,2.0865,1.0,0.203,0.761,0.0,0.885,3.0655,0.0,0.7835,1.0,0.203,0.761,0.0,0.885,0.907,0,3,1,0,1,0,1,4,0,3,1,0,1,0,1,4,0,1,1,0,1,0,1,2,0.0,2.0865,1.0,0.0,0.761,0.0,0.885,3.0655,0.0,2.0865,1.0,0.0,0.761,0.0,0.885,3.0655,0.0,0.7835,1.0,0.0,0.761,0.0,0.885,1.6965,0.3783652506768703,0.9970673474270288,0.49636275,0.6203653,1
already smoking cessation program people want quit smoking agree cigarette taxed,1,neutral,anticipation,0,0,0,There’s already smoking cessation programs for people who want to quit smoking but I agree with you that cigarettes should be taxed more,"['already', 'smoking', 'ce', '##ssa', '##tion', 'program', 'people', 'want', 'quit', 'smoking', 'agree', 'cigarette', 'tax', '##ed']","[101, 2525, 9422, 8292, 11488, 3508, 2565, 2111, 2215, 8046, 9422, 5993, 9907, 4171, 2098, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,1,3,2.0,0.7589285714285714,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.82,0.18,0.5267,0,1,0,0,0,1,0,0,0.0,0.62,0.0,0.0,0.0,0.142,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.142,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3204417995044163,0.9999865278182394,0.49205172,0.4534956,2
alcohol fuel private vehicle raising tax cigarette would reduce danger health alcohol would reduce number accident higher fuel cost would reduce pollution due smaller number vehicle road unfortunately idealist government also need practical,1,negative,sadness,0,0,0,"So should alcohol and fuel for private vehicles. If raising the tax on cigarettes would reduce the danger to health, doing the same for alcohol would reduce the number of accidents and higher fuel costs would reduce pollution due to a smaller number of vehicles on our roads... no? Unfortunately for idealists, Governments also need to be practical.","['alcohol', 'fuel', 'private', 'vehicle', 'raising', 'tax', 'cigarette', 'would', 'reduce', 'danger', 'health', 'alcohol', 'would', 'reduce', 'number', 'accident', 'higher', 'fuel', 'cost', 'would', 'reduce', 'pollution', 'due', 'smaller', 'number', 'vehicle', 'road', 'unfortunately', 'ideal', '##ist', 'government', 'also', 'need', 'practical']","[101, 6544, 4762, 2797, 4316, 6274, 4171, 9907, 2052, 5547, 5473, 2740, 6544, 2052, 5547, 2193, 4926, 3020, 4762, 3465, 2052, 5547, 10796, 2349, 3760, 2193, 4316, 2346, 6854, 7812, 2923, 2231, 2036, 2342, 6742, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,1.0,1.0,2.0,2.0,0.0,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.058823529411764705,0,0,1,3,0,3,1,0,0,6,-7.0,0.7058823529411765,0.0,0.0,0.029411764705882353,0.08823529411764706,0.0,0.08823529411764706,0.029411764705882353,0.0,0.0,0.17647058823529413,0.159,0.774,0.067,-0.7906,0,3,1,1,1,2,1,5,0.0,3.8615,1.0,1.911,0.493,2.104,0.908,3.559,0.0,0.798,1.0,0.802,0.493,0.727,0.908,0.7895,0,6,1,3,1,3,1,5,0,6,1,2,0,3,1,5,0,1,1,1,0,0,1,2,0.0,3.8615,1.0,1.911,0.493,1.9619999999999997,0.908,3.559,0.0,3.8615,1.0,1.552,0.0,1.9619999999999997,0.908,3.559,0.0,0.798,1.0,0.802,0.0,0.0,0.908,1.5585,0.3397567776196143,0.9973763102234912,0.49155304,0.25184378,3
practical say third world country supposed european state,1,negative,anger,0,0,1,"Practical? You should say that in a third world country, and not in a supposed European state.","['practical', 'say', 'third', 'world', 'country', 'supposed', 'european', 'state']","[101, 6742, 2360, 2353, 2088, 2406, 4011, 2647, 2110, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,1.0,0.0,1.0,0.0,0.0,0.125,0.0,0.125,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0404999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6955,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0404999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0404999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534879684448242,0.996569576824154,0.49340516,0.6571754,4
well said,1,positive,trust,0,0,0,Well said.,"['well', 'said']","[101, 2092, 2056, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.677,0.2732,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37936946749687195,0.9973658952605812,0.49149024,0.50002867,0
though smoker fully agree,1,positive,trust,0,0,0,"Though am a smoker, I fully agree with you.","['though', 'smoke', '##r', 'fully', 'agree']","[101, 2295, 5610, 2099, 3929, 5993, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0,0,0,0,0,0,1,2,0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.682,0.318,0.4201,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771,0.37548228204250333,0.9939997673069958,0.4974121,0.23847902,0
everything pl positive amazed,1,negative,disgust,0,1,1,Everything the PL does is positive for him ..so don't be amazed,"['everything', 'pl', 'positive', 'amazed']","[101, 2673, 20228, 3893, 15261, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.616,0.222,0.2434,0,1,0,0,0,0,0,1,0.0,1.3385,0.0,0.0,0.761,0.0,0.0,0.907,0.0,0.6825,0.0,0.0,0.761,0.0,0.0,0.907,0,2,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0.0,1.3385,0.0,0.0,0.761,0.0,0.0,0.907,0.0,1.3385,0.0,0.0,0.761,0.0,0.0,0.907,0.0,0.0,0.0,0.0,0.761,0.0,0.0,0.907,0.41949594020843506,0.9937409480224935,0.49853843,0.7500473,1
everything pl negative like,1,negative,anger,0,0,0,Everything the PL does is negative for your like.,"['everything', 'pl', 'negative', 'like']","[101, 2673, 20228, 4997, 2066, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.28,0.53,0.189,-0.296,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46185241639614105,0.99273220292885,0.4936921,0.29935184,4
fact,1,neutral,sadness,0,0,0,fact by 85%,['fact'],"[101, 2755, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6505000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6505000000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6505000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6505000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2563265264034271,0.9927377343101974,0.4943152,0.40652424,3
