English Word	Emotion	Emotion-Intensity-Score	Myanmar-Burmese Word
outraged	anger	0.964	ဒေါသထွက်သည်။
brutality	anger	0.959	ရက်စက်မှု
hatred	anger	0.953	အမုန်းတရား
hateful	anger	0.940	မုန်းစရာကောင်းသော
terrorize	anger	0.939	အကြမ်းဖက်
violently	anger	0.938	ကြမ်းတမ်းစွာ
infuriated	anger	0.938	ဒေါသထွက်သည်။
furious	anger	0.929	ဒေါသတကြီး
furiously	anger	0.927	ဒေါသတကြီး
enraged	anger	0.927	ဒေါသထွက်သည်။
screwyou	anger	0.924	သွားစမ်းပါ
murderer	anger	0.922	လူသတ်သမား
fury	anger	0.922	ဒေါသ
execution	anger	0.917	သေဒဏ်စီရင်ခြင်း။
angered	anger	0.916	ဒေါသထွက်သည်။
savagery	anger	0.915	တောကောင်ကြီး
slaughtering	anger	0.914	သတ်ဖြတ်ခြင်း
veryangry	anger	0.913	အရမ်းစိတ်ဆိုးတယ်။
assassinate	anger	0.912	လုပ်ကြံရန်
annihilation	anger	0.912	ပျက်ဆီးခြင်း
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	ဒေါသ
loathe	anger	0.909	ရွံရှာသည်။
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	လမ်းကြမ်း
damnation	anger	0.906	ကဲ့ရဲ့ခြင်း
homicidal	anger	0.906	လူသတ်မှု
furor	anger	0.900	ဒေါသ
hostile	anger	0.898	ရန်လိုသော
annihilate	anger	0.898	ချေမှုန်းပါ။
murder	anger	0.897	လူသတ်မှု
raging	anger	0.896	တဟုန်းဟုန်းတောက်
sopissed	anger	0.894	မူးဝေ
infuriates	anger	0.894	ဒေါသထွက်သည်။
pissed	anger	0.894	စိတ်ဆိုး
rape	anger	0.894	မုဒိမ်းမှု
ferocious	anger	0.894	ရက်စက်သည်။
vengeful	anger	0.894	ဒဏ်ပေးသော
obliterated	anger	0.894	ချေမှုန်းခဲ့သည်။
explosive	anger	0.894	ဖောက်ခွဲရေးပစ္စည်း
