English Word	Emotion	Emotion-Intensity-Score	Lao Word
outraged	anger	0.964	ຮ້າຍກາດ
brutality	anger	0.959	ຄວາມໂຫດຮ້າຍ
hatred	anger	0.953	ຄວາມກຽດຊັງ
hateful	anger	0.940	ຊັງ
terrorize	anger	0.939	ກໍ່ການຮ້າຍ
violently	anger	0.938	ຮຸນແຮງ
infuriated	anger	0.938	ໃຈຮ້າຍ
furious	anger	0.929	ໃຈຮ້າຍ
furiously	anger	0.927	furiously
enraged	anger	0.927	ໃຈຮ້າຍ
screwyou	anger	0.924	ກອດເຈົ້າ
murderer	anger	0.922	ຄາດຕະກອນ
fury	anger	0.922	ໃຈຮ້າຍ
execution	anger	0.917	ການ​ປະ​ຕິ​ບັດ
angered	anger	0.916	ໃຈຮ້າຍ
savagery	anger	0.915	savagery
slaughtering	anger	0.914	ການຂ້າສັດ
veryangry	anger	0.913	ໃຈ​ຮ້າຍ​ຫຼາຍ
assassinate	anger	0.912	ລອບສັງຫານ
annihilation	anger	0.912	ການທໍາລາຍ
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	ໃຈຮ້າຍ
loathe	anger	0.909	ຂີ້ຄ້ານ
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	ຖະໜົນຫົນທາງ
damnation	anger	0.906	ຄຳສາບແຊ່ງ
homicidal	anger	0.906	ການຄາດຕະກຳ
furor	anger	0.900	ຄວາມໂກດແຄ້ນ
hostile	anger	0.898	ສັດຕູ
annihilate	anger	0.898	ທໍາລາຍ
murder	anger	0.897	ການຄາດຕະກໍາ
raging	anger	0.896	ໂກດແຄ້ນ
sopissed	anger	0.894	ຂີ້ຄ້ານ
infuriates	anger	0.894	infuriates
pissed	anger	0.894	ງຶດ
rape	anger	0.894	ການຂົ່ມຂືນ
ferocious	anger	0.894	ໂຫດຮ້າຍ
vengeful	anger	0.894	ແກ້ແຄ້ນ
obliterated	anger	0.894	ລຶບລ້າງ
explosive	anger	0.894	ລະເບີດ
killing	anger	0.893	ຂ້າ
combative	anger	0.891	ຕໍ່ສູ້
vengeance	anger	0.886	ການແກ້ແຄ້ນ
gofuckyourself	anger	0.886	ຈູບ​ຕົວ​ເອງ
torment	anger	0.885	ທໍລະມານ
wrath	anger	0.885	ພຣະພິໂລດ
vicious	anger	0.884	ໂຫດຮ້າຍ
massacre	anger	0.882	ການສັງຫານໝູ່
threatening	anger	0.882	ຂົ່ມຂູ່
abhorrent	anger	0.875	ໜ້າກຽດຊັງ
bloodthirsty	anger	0.875	ຫິວເລືອດ
pissoff	anger	0.875	ໃຈ​ຮ້າຍ
fighting	anger	0.868	ສູ້ກັນ
attacking	anger	0.865	ການ​ໂຈມ​ຕີ
annihilated	anger	0.865	ຖືກທໍາລາຍ
angriest	anger	0.864	ໃຈຮ້າຍທີ່ສຸດ
bloodshed	anger	0.864	ການນອງເລືອດ
smite	anger	0.862	ຍິ້ມ
brawl	anger	0.861	ຜິດຖຽງກັນ
malicious	anger	0.859	ເປັນອັນຕະລາຍ
assassination	anger	0.859	ການລອບສັງຫານ
strangle	anger	0.859	ບີບຄໍ
hostility	anger	0.859	ສັດຕູ
assault	anger	0.859	ການ​ໂຈມ​ຕີ
explode	anger	0.859	ລະເບີດ
tirade	anger	0.859	ເມື່ອຍ
loathsome	anger	0.857	ໜ້າລັງກຽດ
hell	anger	0.853	ນະລົກ
murderous	anger	0.853	ຄາດຕະກຳ
attack	anger	0.853	ການໂຈມຕີ
malice	anger	0.852	ຄວາມຊົ່ວຮ້າຍ
terrorism	anger	0.851	ການກໍ່ການຮ້າຍ
beating	anger	0.849	ຕີ
outrage	anger	0.848	ຄວາມໂກດແຄ້ນ
desecration	anger	0.848	ການ​ດູ​ຖູກ
pissingmeoff	anger	0.848	pissingmeoff
destroying	anger	0.844	ທໍາລາຍ
slaughter	anger	0.844	ການຂ້າ
irate	anger	0.844	ໃຈຮ້າຍ
violent	anger	0.844	ຮຸນແຮງ
stab	anger	0.844	ແທງ
abomination	anger	0.844	ໜ້າກຽດຊັງ
tumultuous	anger	0.844	ວຸ້ນວາຍ
infuriate	anger	0.844	ໃຈຮ້າຍ
obliterate	anger	0.843	ລົບ​ລ້າງ
belligerent	anger	0.841	ໃຈຮ້າຍ
dumbbitch	anger	0.841	dumbitch
detest	anger	0.838	ຊັງ
hostilities	anger	0.837	ການ​ປະ​ທະ​ກັນ
prick	anger	0.835	ຖູ
rampage	anger	0.833	rampage
horrid	anger	0.833	ຂີ້ຮ້າຍ
cruelty	anger	0.833	ຄວາມໂຫດຮ້າຍ
torture	anger	0.833	ການທໍລະມານ
rabid	anger	0.833	ຂີ້ຮ້າຍ
despicable	anger	0.828	ໜ້າລັງກຽດ
tyrannical	anger	0.828	ຂົ່ມເຫັງ
demonic	anger	0.828	ຜີປີສາດ
satanic	anger	0.828	ຊາຕານ
hate	anger	0.828	ຊັງ
ragemode	anger	0.828	ragemode
hating	anger	0.828	ຊັງ
ruinous	anger	0.825	ruinous
condemn	anger	0.825	ກ່າວໂທດ
riots	anger	0.824	ການຈະລາຈົນ
demolish	anger	0.824	ຮື້ຖອນ
angry	anger	0.824	ໃຈຮ້າຍ
extermination	anger	0.824	ການກໍາຈັດ
dickhead	anger	0.824	ຫົວກະທິ
livid	anger	0.821	ດັງ
madman	anger	0.820	ຄົນບ້າ
vindictive	anger	0.819	ແກ້ແຄ້ນ
terrorist	anger	0.818	ຜູ້ກໍ່ການຮ້າຍ
threaten	anger	0.818	ຂົ່ມຂູ່
venomous	anger	0.818	ພິດ
hateyou	anger	0.818	ຊັງ​ເຈົ້າ
ferocity	anger	0.818	ຄວາມໂຫດຮ້າຍ
effyou	anger	0.818	effyou
abhor	anger	0.816	ກຽດຊັງ
carnage	anger	0.814	ການຄາດຕະກໍາ
savage	anger	0.814	ໂຫດຮ້າຍ
atrocity	anger	0.814	ຄວາມໂຫດຮ້າຍ
fucksake	anger	0.812	fucksake
abuse	anger	0.812	ການລ່ວງລະເມີດ
fierce	anger	0.812	ໂຫດຮ້າຍ
destroyer	anger	0.812	ຜູ້ທຳລາຍ
angrytweet	anger	0.812	ໃຈຮ້າຍ tweet
barbaric	anger	0.812	ປ່າເຖື່ອນ
vendetta	anger	0.812	ແກ້ແຄ້ນ
pissesmeoff	anger	0.812	pissesmeoff
pissedoff	anger	0.812	ຂີ້ຄ້ານ
tyrant	anger	0.812	tyrant
berserk	anger	0.812	Berserk
fuming	anger	0.812	fuming
anger	anger	0.811	ຄວາມໃຈຮ້າຍ
pieceofshit	anger	0.810	ສິ້ນ
punched	anger	0.803	ເຈາະ
punching	anger	0.803	ເຈາະ
slam	anger	0.803	ຕຳ
homicide	anger	0.803	ການຄາດຕະກຳ
bitch	anger	0.803	ບ້າ
fights	anger	0.803	ຕໍ່ສູ້
ruthless	anger	0.797	ໂຫດຮ້າຍ
villainous	anger	0.797	ຄົນຮ້າຍ
destructive	anger	0.797	ທໍາລາຍ
slap	anger	0.791	ຕົບ
riot	anger	0.788	ການຈະລາຈົນ
growthefuckup	anger	0.788	ການຂະຫຍາຍຕົວ
punishing	anger	0.788	ການລົງໂທດ
slaughterhouse	anger	0.788	ໂຮງຂ້າສັດ
yelling	anger	0.788	ຮ້ອງ
diabolical	anger	0.788	ຮ້າຍກາດ
destroyed	anger	0.788	ຖືກທໍາລາຍ
ragetweet	anger	0.788	ragetweet
retaliatory	anger	0.788	ແກ້ແຄ້ນ
manslaughter	anger	0.783	ການຄາດຕະກຳ
