English Word	Emotion	Emotion-Intensity-Score	Bengali Word
outraged	anger	0.964	বিরক্ত
brutality	anger	0.959	বর্বরতা
hatred	anger	0.953	ঘৃণা
hateful	anger	0.940	ঘৃণ্য
terrorize	anger	0.939	আতঙ্কিত করা
violently	anger	0.938	হিংস্রভাবে
infuriated	anger	0.938	ক্ষুব্ধ
furious	anger	0.929	ক্ষিপ্ত
furiously	anger	0.927	ক্ষিপ্তভাবে
enraged	anger	0.927	রাগান্বিত
screwyou	anger	0.924	আপনি screw
murderer	anger	0.922	খুনি
fury	anger	0.922	ক্রোধ
execution	anger	0.917	মৃত্যুদন্ড
angered	anger	0.916	রাগান্বিত
savagery	anger	0.915	বর্বরতা
slaughtering	anger	0.914	বধ
veryangry	anger	0.913	খুব রাগান্বিত
assassinate	anger	0.912	হত্যা করা
annihilation	anger	0.912	বিনাশ
fuckoff	anger	0.912	fuckoff
rage	anger	0.911	রাগ
loathe	anger	0.909	ঘৃণা করা
fucktard	anger	0.906	fucktard
roadrage	anger	0.906	রাস্তাঘাট
damnation	anger	0.906	অভিশাপ
homicidal	anger	0.906	নরঘাতক
furor	anger	0.900	ক্ষোভ
hostile	anger	0.898	প্রতিকূল
annihilate	anger	0.898	ধ্বংস করা
murder	anger	0.897	হত্যা
raging	anger	0.896	রাগিং
sopissed	anger	0.894	এতো বিরক্ত
infuriates	anger	0.894	বিরক্ত করে
pissed	anger	0.894	প্রস্রাব
rape	anger	0.894	ধর্ষণ
ferocious	anger	0.894	হিংস্র
vengeful	anger	0.894	প্রতিহিংসাপরায়ণ
obliterated	anger	0.894	বিলুপ্ত
explosive	anger	0.894	বিস্ফোরক
killing	anger	0.893	হত্যা
combative	anger	0.891	যুদ্ধমূলক
vengeance	anger	0.886	প্রতিশোধ
gofuckyourself	anger	0.886	নিজেকে gofucky
torment	anger	0.885	যন্ত্রণা
wrath	anger	0.885	রাগ
vicious	anger	0.884	দুশ্চরিত্র
massacre	anger	0.882	হত্যাকাণ্ড
threatening	anger	0.882	হুমকি
abhorrent	anger	0.875	ঘৃণ্য
bloodthirsty	anger	0.875	রক্তপিপাসু
pissoff	anger	0.875	কেটে পরা
fighting	anger	0.868	যুদ্ধ
attacking	anger	0.865	আক্রমণ
