English Word	Emotion	Emotion-Intensity-Score	Kyrgyz Word
outraged	anger	0.964	ачууланган
brutality	anger	0.959	ырайымсыздык
hatred	anger	0.953	жек көрүү
hateful	anger	0.940	жек көрүүчү
terrorize	anger	0.939	террор кылуу
violently	anger	0.938	күч менен
infuriated	anger	0.938	ачууланган
furious	anger	0.929	ачуулуу
furiously	anger	0.927	ачуулуу
enraged	anger	0.927	ачууланган
screwyou	anger	0.924	барчы ары
murderer	anger	0.922	канкор
fury	anger	0.922	ачуулануу
execution	anger	0.917	аткаруу
angered	anger	0.916	ачууланды
savagery	anger	0.915	жапайычылык
slaughtering	anger	0.914	союу
veryangry	anger	0.913	абдан ачуулуу
assassinate	anger	0.912	өлтүрүү
annihilation	anger	0.912	жок кылуу
fuckoff	anger	0.912	блять
rage	anger	0.911	ачуулануу
loathe	anger	0.909	жек көрүү
fucktard	anger	0.906	блять
roadrage	anger	0.906	жол кырсыгы
damnation	anger	0.906	каргыш
homicidal	anger	0.906	киши өлтүргүч
furor	anger	0.900	кыжырдануу
hostile	anger	0.898	душмандык
annihilate	anger	0.898	жок кылуу
murder	anger	0.897	өлтүрүү
raging	anger	0.896	ачууланууда
sopissed	anger	0.894	капаланган
infuriates	anger	0.894	кыжырдантат
pissed	anger	0.894	ачууланды
rape	anger	0.894	зордуктоо
ferocious	anger	0.894	каардуу
vengeful	anger	0.894	кекчил
obliterated	anger	0.894	жок кылынган
explosive	anger	0.894	жарылуучу
killing	anger	0.893	өлтүрүү
combative	anger	0.891	күрөшүүчү
vengeance	anger	0.886	өч алуу
gofuckyourself	anger	0.886	gofuckyourself
torment	anger	0.885	азап
wrath	anger	0.885	каар
vicious	anger	0.884	каардуу
massacre	anger	0.882	кыргын
threatening	anger	0.882	коркутуу
abhorrent	anger	0.875	жийиркеничтүү
bloodthirsty	anger	0.875	канкор
pissoff	anger	0.875	итиркейди келтирүү
fighting	anger	0.868	согушуу
attacking	anger	0.865	кол салуу
annihilated	anger	0.865	жок кылынган
angriest	anger	0.864	эң ачуулуу
bloodshed	anger	0.864	кан төгүү
smite	anger	0.862	чабуу
brawl	anger	0.861	мушташ
